Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
自己,e,1,0.9004,NA,NA,NA,NA,33,自我,NA
我们,e,1,0.7486,NA,NA,NA,NA,33,自我,NA
俺,e,1,0.651,NA,NA,NA,NA,33,自我,NA
自己,e,1,0.5036,NA,NA,NA,NA,33,自我,NA
他们,i,1,0.6194,NA,NA,NA,NA,33,他人,NA
热情,e,0,0.5073,NA,NA,NA,NA,33,积极,NA
勇敢,e,1,0.8763,NA,NA,NA,NA,33,积极,NA
我,e,1,0.6055,NA,NA,NA,NA,33,自我,NA
我们,e,1,0.53,NA,NA,NA,NA,33,自我,NA
散漫,i,1,1.2737,NA,NA,NA,NA,33,消极,NA
他,i,1,0.6838,NA,NA,NA,NA,33,他人,NA
愚蠢,i,1,0.7301,NA,NA,NA,NA,33,消极,NA
冷静,e,1,1.2319,NA,NA,NA,NA,33,积极,NA
下贱,i,1,0.6241,NA,NA,NA,NA,33,消极,NA
他人,i,1,0.782,NA,NA,NA,NA,33,他人,NA
机智,e,1,0.9755,NA,NA,NA,NA,33,积极,NA
优秀,e,1,0.5874,NA,NA,NA,NA,33,积极,NA
他的,i,1,0.6843,NA,NA,NA,NA,33,他人,NA
他人,i,1,0.5326,NA,NA,NA,NA,33,他人,NA
诚恳,e,1,0.8189,NA,NA,NA,NA,33,积极,NA
我的,e,1,0.4772,NA,NA,NA,NA,33,自我,NA
聪明,e,1,0.6419,NA,NA,NA,NA,33,积极,NA
我们,e,1,0.5502,NA,NA,NA,NA,33,自我,NA
轻率,i,1,0.9229,NA,NA,NA,NA,33,消极,NA
他们,i,1,0.5383,NA,NA,NA,NA,33,他人,NA
他的,i,1,0.4537,NA,NA,NA,NA,33,他人,NA
正直,e,1,0.7318,NA,NA,NA,NA,33,积极,NA
自己,e,1,0.6959,NA,NA,NA,NA,33,自我,NA
其他,i,1,0.6109,NA,NA,NA,NA,33,他人,NA
俺,e,1,0.6112,NA,NA,NA,NA,33,自我,NA
悲观,i,1,0.8,NA,NA,NA,NA,33,消极,NA
我的,e,1,0.7441,NA,NA,NA,NA,33,自我,NA
他的,i,1,0.5673,NA,NA,NA,NA,33,他人,NA
我,e,1,0.4853,NA,NA,NA,NA,33,自我,NA
他,i,1,0.3919,NA,NA,NA,NA,33,他人,NA
冒失,i,1,1.0323,NA,NA,NA,NA,33,消极,NA
他人,i,1,0.8638,NA,NA,NA,NA,33,他人,NA
虚伪,i,1,0.8578,NA,NA,NA,NA,33,消极,NA
我,e,1,0.5034,NA,NA,NA,NA,33,自我,NA
自卑,i,1,0.951,NA,NA,NA,NA,33,消极,NA
无私,e,0,0.5816,NA,NA,NA,NA,33,积极,NA
朴实,e,1,0.7329,NA,NA,NA,NA,33,积极,NA
细腻,e,1,1.0042,NA,NA,NA,NA,33,积极,NA
他人,i,1,0.5661,NA,NA,NA,NA,33,他人,NA
乐观,e,1,0.7831,NA,NA,NA,NA,33,积极,NA
傲慢,i,1,0.8025,NA,NA,NA,NA,33,消极,NA
凶狠,i,1,0.9263,NA,NA,NA,NA,33,消极,NA
固执,i,1,0.6722,NA,NA,NA,NA,33,消极,NA
自私,i,1,1.2911,NA,NA,NA,NA,33,消极,NA
其他,i,1,0.6992,NA,NA,NA,NA,33,他人,NA
我,e,1,0.5564,NA,NA,NA,NA,33,自我,NA
活泼,e,1,0.8648,NA,NA,NA,NA,33,积极,NA
诚实,e,1,0.6483,NA,NA,NA,NA,33,积极,NA
我们,e,1,0.7983,NA,NA,NA,NA,33,自我,NA
他们,i,1,0.6415,NA,NA,NA,NA,33,他人,NA
公正,e,1,0.8149,NA,NA,NA,NA,33,积极,NA
俺,e,1,0.5487,NA,NA,NA,NA,33,自我,NA
他,i,1,0.5327,NA,NA,NA,NA,33,他人,NA
我的,e,1,0.6382,NA,NA,NA,NA,33,自我,NA
俺,e,1,0.5844,NA,NA,NA,NA,33,自我,NA
我的,e,1,0.651,NA,NA,NA,NA,33,自我,NA
其他,i,1,0.577,NA,NA,NA,NA,33,他人,NA
卑鄙,i,1,0.6823,NA,NA,NA,NA,33,消极,NA
其他,i,1,0.568,NA,NA,NA,NA,33,他人,NA
暴躁,i,1,0.6108,NA,NA,NA,NA,33,消极,NA
崇高,e,1,0.85,NA,NA,NA,NA,33,积极,NA
猖狂,i,1,0.6154,NA,NA,NA,NA,33,消极,NA
认真,e,1,0.625,NA,NA,NA,NA,33,积极,NA
他,i,1,0.6496,NA,NA,NA,NA,33,他人,NA
杰出,e,1,0.7263,NA,NA,NA,NA,33,积极,NA
执拗,i,1,0.6499,NA,NA,NA,NA,33,消极,NA
刻薄,i,1,0.6335,NA,NA,NA,NA,33,消极,NA
消极,i,1,0.6654,NA,NA,NA,NA,33,消极,NA
他的,i,1,0.6561,NA,NA,NA,NA,33,他人,NA
勤奋,e,1,0.5985,NA,NA,NA,NA,33,积极,NA
野蛮,i,1,0.6193,NA,NA,NA,NA,33,消极,NA
他们,i,1,0.7498,NA,NA,NA,NA,33,他人,NA
鲁莽,i,1,0.7382,NA,NA,NA,NA,33,消极,NA
稳重,e,1,0.856,NA,NA,NA,NA,33,积极,NA
自己,e,1,0.6828,NA,NA,NA,NA,33,自我,NA
杰出,e,1,0.8525,NA,NA,NA,NA,33,积极,NA
崇高,e,1,0.9012,NA,NA,NA,NA,33,积极,NA
轻率,i,1,0.7059,NA,NA,NA,NA,33,消极,NA
俺,e,1,0.6145,NA,NA,NA,NA,33,自我,NA
他们,i,1,0.7069,NA,NA,NA,NA,33,他人,NA
俺,e,1,0.5955,NA,NA,NA,NA,33,自我,NA
猖狂,i,1,0.7168,NA,NA,NA,NA,33,消极,NA
卑鄙,i,1,0.6849,NA,NA,NA,NA,33,消极,NA
暴躁,i,1,0.4837,NA,NA,NA,NA,33,消极,NA
自己,e,1,0.5335,NA,NA,NA,NA,33,自我,NA
消极,i,1,0.6609,NA,NA,NA,NA,33,消极,NA
俺,e,1,0.5839,NA,NA,NA,NA,33,自我,NA
散漫,i,1,0.7176,NA,NA,NA,NA,33,消极,NA
傲慢,i,1,0.584,NA,NA,NA,NA,33,消极,NA
诚实,e,1,0.6239,NA,NA,NA,NA,33,积极,NA
其他,i,1,0.5408,NA,NA,NA,NA,33,他人,NA
自己,e,1,0.5491,NA,NA,NA,NA,33,自我,NA
勤奋,e,1,0.6815,NA,NA,NA,NA,33,积极,NA
其他,i,1,0.5847,NA,NA,NA,NA,33,他人,NA
鲁莽,i,1,0.5492,NA,NA,NA,NA,33,消极,NA
我,e,1,0.5851,NA,NA,NA,NA,33,自我,NA
我们,e,0,0.3998,NA,NA,NA,NA,33,自我,NA
悲观,i,1,0.7341,NA,NA,NA,NA,33,消极,NA
凶狠,i,1,0.6506,NA,NA,NA,NA,33,消极,NA
正直,e,1,0.7298,NA,NA,NA,NA,33,积极,NA
他的,i,1,0.7817,NA,NA,NA,NA,33,他人,NA
我的,e,1,0.4753,NA,NA,NA,NA,33,自我,NA
稳重,e,1,0.8817,NA,NA,NA,NA,33,积极,NA
他,i,1,0.6326,NA,NA,NA,NA,33,他人,NA
下贱,i,1,0.6578,NA,NA,NA,NA,33,消极,NA
自私,i,1,0.833,NA,NA,NA,NA,33,消极,NA
勇敢,e,1,0.6668,NA,NA,NA,NA,33,积极,NA
刻薄,i,1,0.8826,NA,NA,NA,NA,33,消极,NA
执拗,i,1,0.5565,NA,NA,NA,NA,33,消极,NA
他人,i,1,0.6369,NA,NA,NA,NA,33,他人,NA
认真,e,1,0.7768,NA,NA,NA,NA,33,积极,NA
优秀,e,1,0.6668,NA,NA,NA,NA,33,积极,NA
热情,e,1,0.6347,NA,NA,NA,NA,33,积极,NA
他,i,1,0.7082,NA,NA,NA,NA,33,他人,NA
公正,e,1,0.6528,NA,NA,NA,NA,33,积极,NA
虚伪,i,1,0.7203,NA,NA,NA,NA,33,消极,NA
朴实,e,1,0.8871,NA,NA,NA,NA,33,积极,NA
其他,i,1,0.6026,NA,NA,NA,NA,33,他人,NA
自卑,i,1,0.7592,NA,NA,NA,NA,33,消极,NA
无私,e,1,0.8974,NA,NA,NA,NA,33,积极,NA
