"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"聪明","e",1,0.5838,"","",NA,NA,36
"他人","i",1,0.5604,"","",NA,NA,36
"他的","i",1,0.4668,"","",NA,NA,36
"他的","i",1,0.5467,"","",NA,NA,36
"冒失","i",1,0.6929,"","",NA,NA,36
"朴实","e",1,0.4455,"","",NA,NA,36
"他人","i",1,0.4796,"","",NA,NA,36
"愚蠢","i",1,0.6274,"","",NA,NA,36
"其他","i",1,0.6499,"","",NA,NA,36
"优秀","e",1,0.4942,"","",NA,NA,36
"猖狂","i",1,0.5611,"","",NA,NA,36
"他们","i",1,0.6449,"","",NA,NA,36
"我的","e",1,0.4937,"","",NA,NA,36
"他的","i",1,0.4443,"","",NA,NA,36
"他的","i",1,0.5346,"","",NA,NA,36
"活泼","e",1,0.5668,"","",NA,NA,36
"我的","e",1,0.4775,"","",NA,NA,36
"他","i",1,0.4947,"","",NA,NA,36
"稳重","e",1,0.5002,"","",NA,NA,36
"俺","e",1,0.517,"","",NA,NA,36
"悲观","i",1,0.6667,"","",NA,NA,36
"崇高","e",1,0.5176,"","",NA,NA,36
"诚实","e",1,0.5373,"","",NA,NA,36
"其他","i",1,0.5643,"","",NA,NA,36
"自己","e",1,0.5943,"","",NA,NA,36
"正直","e",1,0.5332,"","",NA,NA,36
"散漫","i",1,0.6669,"","",NA,NA,36
"诚恳","e",1,0.5945,"","",NA,NA,36
"他","i",1,0.5946,"","",NA,NA,36
"我","e",1,0.5609,"","",NA,NA,36
"俺","e",1,0.6386,"","",NA,NA,36
"我的","e",1,0.5898,"","",NA,NA,36
"自卑","i",1,0.6041,"","",NA,NA,36
"野蛮","i",1,0.5801,"","",NA,NA,36
"我们","e",1,0.6606,"","",NA,NA,36
"杰出","e",1,0.5672,"","",NA,NA,36
"鲁莽","i",1,0.5771,"","",NA,NA,36
"暴躁","i",1,0.5513,"","",NA,NA,36
"自己","e",1,0.5619,"","",NA,NA,36
"我们","e",1,0.5104,"","",NA,NA,36
"自己","e",1,0.585,"","",NA,NA,36
"勇敢","e",1,0.5497,"","",NA,NA,36
"我","e",1,0.5168,"","",NA,NA,36
"我的","e",1,0.4993,"","",NA,NA,36
"机智","e",1,0.5059,"","",NA,NA,36
"冷静","e",1,0.5603,"","",NA,NA,36
"凶狠","i",1,0.6313,"","",NA,NA,36
"轻率","i",1,0.6001,"","",NA,NA,36
"下贱","i",1,0.5667,"","",NA,NA,36
"他们","i",1,0.7288,"","",NA,NA,36
"他人","i",1,0.504,"","",NA,NA,36
"公正","e",1,0.5612,"","",NA,NA,36
"傲慢","i",1,0.5335,"","",NA,NA,36
"他人","i",1,0.4989,"","",NA,NA,36
"俺","e",1,0.6328,"","",NA,NA,36
"他们","i",1,0.5397,"","",NA,NA,36
"刻薄","i",1,0.594,"","",NA,NA,36
"无私","e",1,0.8435,"","",NA,NA,36
"我","e",1,0.5273,"","",NA,NA,36
"虚伪","i",1,0.4998,"","",NA,NA,36
"我","e",1,0.4329,"","",NA,NA,36
"细腻","e",1,0.5441,"","",NA,NA,36
"俺","e",1,0.5331,"","",NA,NA,36
"其他","i",1,0.5608,"","",NA,NA,36
"卑鄙","i",1,0.5675,"","",NA,NA,36
"勤奋","e",1,0.473,"","",NA,NA,36
"我们","e",1,0.4847,"","",NA,NA,36
"自私","i",1,0.5482,"","",NA,NA,36
"执拗","i",1,0.6479,"","",NA,NA,36
"消极","i",1,0.5873,"","",NA,NA,36
"热情","e",1,0.4765,"","",NA,NA,36
"我们","e",1,0.5099,"","",NA,NA,36
"自己","e",1,0.5277,"","",NA,NA,36
"他","i",1,0.5012,"","",NA,NA,36
"乐观","e",1,0.5336,"","",NA,NA,36
"他们","i",1,0.5027,"","",NA,NA,36
"他","i",1,0.5441,"","",NA,NA,36
"固执","i",1,0.5605,"","",NA,NA,36
"认真","e",1,0.5604,"","",NA,NA,36
"其他","i",1,0.5607,"","",NA,NA,36
"诚实","e",1,0.4552,"","",NA,NA,36
"他人","i",1,0.5122,"","",NA,NA,36
"稳重","e",1,0.499,"","",NA,NA,36
"自己","e",1,0.4536,"","",NA,NA,36
"我","e",1,0.4426,"","",NA,NA,36
"他们","i",1,0.5006,"","",NA,NA,36
"我的","e",1,0.4246,"","",NA,NA,36
"活泼","e",1,0.4869,"","",NA,NA,36
"聪明","e",1,0.4394,"","",NA,NA,36
"卑鄙","i",1,0.6378,"","",NA,NA,36
"他","i",1,0.4834,"","",NA,NA,36
"他","i",1,0.4518,"","",NA,NA,36
"自私","i",1,0.5279,"","",NA,NA,36
"执拗","i",1,0.5904,"","",NA,NA,36
"正直","e",1,0.4668,"","",NA,NA,36
"他的","i",1,0.5021,"","",NA,NA,36
"他人","i",1,0.4837,"","",NA,NA,36
"无私","e",1,0.7332,"","",NA,NA,36
"傲慢","i",1,0.5746,"","",NA,NA,36
"俺","e",1,0.5187,"","",NA,NA,36
"俺","e",1,0.5518,"","",NA,NA,36
"消极","i",1,0.537,"","",NA,NA,36
"他们","i",1,0.5388,"","",NA,NA,36
"优秀","e",1,0.5448,"","",NA,NA,36
"猖狂","i",1,0.6067,"","",NA,NA,36
"俺","e",1,0.5021,"","",NA,NA,36
"冷静","e",1,0.5354,"","",NA,NA,36
"下贱","i",1,0.5348,"","",NA,NA,36
"其他","i",1,0.57,"","",NA,NA,36
"朴实","e",1,0.4835,"","",NA,NA,36
"机智","e",1,0.5019,"","",NA,NA,36
"其他","i",1,0.5335,"","",NA,NA,36
"我","e",1,0.4853,"","",NA,NA,36
"乐观","e",1,0.4878,"","",NA,NA,36
"刻薄","i",1,0.5454,"","",NA,NA,36
"我们","e",1,0.4927,"","",NA,NA,36
"其他","i",1,0.561,"","",NA,NA,36
"他的","i",1,0.7262,"","",NA,NA,36
"自卑","i",1,0.5564,"","",NA,NA,36
"他","i",1,0.5835,"","",NA,NA,36
"我们","e",1,0.5187,"","",NA,NA,36
"俺","e",1,0.5389,"","",NA,NA,36
"勤奋","e",1,0.5256,"","",NA,NA,36
"诚恳","e",1,0.5157,"","",NA,NA,36
"杰出","e",1,0.5239,"","",NA,NA,36
"崇高","e",1,0.5237,"","",NA,NA,36
"冒失","i",1,0.5361,"","",NA,NA,36
"认真","e",1,0.4847,"","",NA,NA,36
"我的","e",1,0.5169,"","",NA,NA,36
"他","i",1,0.5281,"","",NA,NA,36
"热情","e",1,0.5331,"","",NA,NA,36
"虚伪","i",1,0.5491,"","",NA,NA,36
"我的","e",1,0.4537,"","",NA,NA,36
"我们","e",1,0.5,"","",NA,NA,36
"其他","i",1,0.5214,"","",NA,NA,36
"鲁莽","i",1,0.5588,"","",NA,NA,36
"他的","i",1,0.5401,"","",NA,NA,36
"他的","i",1,0.4505,"","",NA,NA,36
"他们","i",1,0.4501,"","",NA,NA,36
"他人","i",1,0.4878,"","",NA,NA,36
"暴躁","i",1,0.521,"","",NA,NA,36
"公正","e",1,0.5068,"","",NA,NA,36
"我","e",1,0.4668,"","",NA,NA,36
"他人","i",1,0.4673,"","",NA,NA,36
"我的","e",1,0.5198,"","",NA,NA,36
"勇敢","e",1,0.5708,"","",NA,NA,36
"他们","i",1,0.5084,"","",NA,NA,36
"固执","i",1,0.5849,"","",NA,NA,36
"自己","e",1,0.4497,"","",NA,NA,36
"轻率","i",1,0.568,"","",NA,NA,36
"悲观","i",1,0.8039,"","",NA,NA,36
"自己","e",1,0.5331,"","",NA,NA,36
"凶狠","i",1,0.8678,"","",NA,NA,36
"自己","e",1,0.4355,"","",NA,NA,36
"我","e",1,0.4694,"","",NA,NA,36
"野蛮","i",1,0.4833,"","",NA,NA,36
"散漫","i",1,0.5442,"","",NA,NA,36
"我们","e",1,0.4448,"","",NA,NA,36
"细腻","e",1,0.5553,"","",NA,NA,36
"愚蠢","i",1,0.52,"","",NA,NA,36
