Subject,Words_t1,ans_t1,key_resp_t1_corr,key_resp_t1_rt
98,俺,e,1,0.5049
98,无私,e,1,0.5507
98,他们,i,1,0.5114
98,活泼,e,1,0.5574
98,俺,e,1,0.4325
98,卑鄙,i,1,0.5398
98,我们,e,1,0.554
98,冒失,i,1,0.9843
98,聪明,e,1,0.7152
98,他,i,0,0.4188
98,他的,i,1,0.5506
98,他,i,1,0.4034
98,愚蠢,i,1,0.5755
98,我的,e,1,0.4495
98,他的,i,1,0.5216
98,诚实,e,1,0.5536
98,他,i,1,0.5442
98,我们,e,1,0.4727
98,细腻,e,1,0.6106
98,自己,e,1,0.4197
98,固执,i,1,0.5504
98,乐观,e,1,0.6006
98,我的,e,1,0.4471
98,凶狠,i,1,0.5633
98,我,e,1,0.5634
98,悲观,i,1,0.6302
98,他们,i,1,0.4987
98,诚恳,e,1,0.8537
98,刻薄,i,1,0.6288
98,他人,i,1,1.2263
98,他人,i,1,0.818
98,杰出,e,1,0.5822
98,认真,e,1,0.5169
98,冷静,e,0,0.5392
98,消极,i,1,0.6158
98,其他,i,1,0.494
98,自私,i,1,0.5241
98,我,e,1,0.6185
98,我的,e,1,0.4974
98,轻率,i,1,0.6821
98,暴躁,i,1,0.6567
98,其他,i,1,0.5642
98,我,e,1,0.4603
98,他们,i,1,0.8369
98,我,e,1,0.4389
98,他的,i,1,0.6163
98,自己,e,1,0.534
98,下贱,i,1,0.5493
98,傲慢,i,1,0.5611
98,鲁莽,i,1,0.5958
98,散漫,i,1,0.7166
98,热情,e,1,0.5219
98,他的,i,1,0.734
98,公正,e,1,0.5315
98,他人,i,1,0.5351
98,其他,i,1,0.5197
98,我们,e,1,0.6068
98,朴实,e,1,0.6011
98,崇高,e,1,0.5045
98,自己,e,1,0.4057
98,勇敢,e,1,0.4974
98,我的,e,1,0.4321
98,其他,i,0,0.4384
98,猖狂,i,1,0.7934
98,虚伪,i,1,0.74
98,自卑,i,1,0.7278
98,自己,e,1,0.4878
98,优秀,e,1,0.5342
98,机智,e,1,0.4837
98,他,i,1,0.5284
98,稳重,e,0,0.5662
98,我们,e,1,0.5909
98,俺,e,1,0.6638
98,执拗,i,1,0.6661
98,俺,e,1,0.5354
98,正直,e,1,0.6348
98,他们,i,1,0.9397
98,勤奋,e,1,0.5619
98,他人,i,1,0.6387
98,野蛮,i,1,0.5403
98,轻率,i,1,0.6207
98,细腻,e,1,0.582
98,乐观,e,1,0.5931
98,俺,e,1,0.6014
98,崇高,e,1,0.5539
98,他,i,1,0.5786
98,我们,e,1,0.5239
98,我,e,1,0.4053
98,自己,e,1,0.4093
98,我的,e,1,0.4066
98,其他,i,1,0.5276
98,他,i,1,0.6744
98,公正,e,1,0.5518
98,勤奋,e,1,0.5279
98,我们,e,1,0.4675
98,他,i,1,0.4734
98,鲁莽,i,1,0.5307
98,诚实,e,1,0.5772
98,热情,e,1,0.5378
98,机智,e,1,0.4693
98,冷静,e,1,0.4395
98,他的,i,1,0.5912
98,俺,e,1,0.532
98,暴躁,i,1,0.5503
98,固执,i,1,0.5255
98,我的,e,1,0.4758
98,他的,i,1,0.4906
98,他的,i,1,0.367
98,他人,i,1,0.3679
98,他的,i,1,0.4194
98,我,e,1,0.5345
98,他人,i,1,0.4992
98,优秀,e,1,0.553
98,俺,e,0,0.5118
98,我,e,1,0.4575
98,自私,i,1,1.0474
98,散漫,i,1,0.4643
98,朴实,e,1,0.5233
98,冒失,i,1,0.5296
98,他们,i,1,0.5238
98,我,e,1,0.4586
98,他人,i,1,0.4984
98,其他,i,1,0.5098
98,我的,e,1,0.6009
98,我的,e,1,0.5992
98,刻薄,i,1,0.8519
98,他,i,1,0.5366
98,他们,i,1,0.5186
98,卑鄙,i,1,0.4741
98,执拗,i,1,0.531
98,下贱,i,1,0.5073
98,活泼,e,1,0.6309
98,他们,i,1,0.5799
98,自己,e,1,0.5882
98,杰出,e,1,0.5317
98,俺,e,1,0.5098
98,他们,i,1,0.8427
98,野蛮,i,1,0.5148
98,勇敢,e,1,0.5506
98,悲观,i,0,0.5374
98,自己,e,1,0.5511
98,自卑,i,1,0.5698
98,认真,e,1,0.5868
98,无私,e,1,0.9525
98,我们,e,1,0.5132
98,其他,i,1,0.5382
98,其他,i,1,0.402
98,愚蠢,i,1,0.5633
98,聪明,e,1,0.5349
98,正直,e,1,0.4788
98,我们,e,1,0.6686
98,虚伪,i,1,0.5835
98,猖狂,i,1,0.5869
98,凶狠,i,1,0.958
98,自己,e,1,0.8067
98,稳重,e,1,0.5314
98,他人,i,1,0.5557
98,傲慢,i,1,0.6053
98,消极,i,1,0.922
98,诚恳,e,1,0.7306
98,细腻,e,1,0.5885
98,他的,i,1,0.5245
98,其他,i,1,0.514
98,乐观,e,1,0.5924
98,我,e,1,0.5013
98,机智,e,1,0.54
98,我的,e,1,0.4725
