Subject,d_prime_goodme_badothers,d_prime_badme_goodothers
1,3.289707254,2.426679245
2,2.661123026,-1.084924809
3,2.611329051,1.869178582
4,3.919927969,1.968469921
5,2.300698761,0.410184631
6,4.7879596,4.160556905
7,3.002171892,3.174111665
8,3.463328792,2.493440997
9,2.26067835,1.774293118
10,0.793188573,-0.251322694
11,2.939225489,2.636021795
12,3.068241089,2.793425291
13,3.211459212,2.563103131
14,3.560928683,2.183240735
15,3.667829272,1.639004215
16,4.073668263,4.482805455
17,3.560928683,1.469472956
18,3.002171892,2.362517242
19,3.560928683,2.493440997
20,2.939225489,2.300698761
21,3.373341633,3.068241089
22,2.879062942,2.241003534
23,0.74819082,2.636021795
24,3.373341633,3.919927969
25,3.463328792,2.712623491
26,3.786369069,3.725463735
27,4.482805455,3.068241089
28,3.786369069,3.417470516
29,3.919927969,3.417470516
30,4.7879596,3.919927969
31,3.667829272,3.417470516
32,3.137839265,1.968469921
33,3.560928683,2.970330914
34,2.611329051,-0.282936603
35,4.256090468,4.482805455
36,5.276514547,4.482805455
37,3.786369069,1.728320009
38,5.276514547,3.289707254
39,3.373341633,2.183240735
40,3.919927969,2.879062942
41,4.256090468,2.970330914
42,2.712623491,0.062675964
43,3.786369069,3.068241089
44,2.072866779,0
45,4.073668263,3.289707254
46,3.919927969,2.879062942
47,4.256090468,3.417470516
48,3.919927969,3.174111665
49,3.211459212,1.683242467
50,3.137839265,1.968469921
51,2.426679245,2.241003534
52,3.463328792,3.174111665
53,3.919927969,3.289707254
54,3.373341633,1.918233234
55,5.276514547,3.417470516
56,3.289707254,2.879062942
57,3.137839265,2.426679245
58,4.073668263,2.636021795
59,2.611329051,2.127243877
60,3.068241089,2.493440997
61,3.786369069,1.552843522
62,8.529781588,3.725463735
63,3.002171892,2.019980338
64,4.7879596,2.426679245
65,4.482805455,4.995410949
66,4.256090468,3.919927969
67,2.661123026,2.712623491
68,4.7879596,3.560928683
69,0.74819082,2.426679245
70,3.667829272,3.289707254
71,3.667829272,3.417470516
72,0.209266911,-0.346385302
73,3.373341633,2.072866779
74,2.611329051,1.309899834
75,3.786369069,-0.031334135
76,3.560928683,3.068241089
77,3.667829272,3.417470516
78,3.002171892,2.241003534
79,3.560928683,1.683242467
80,2.879062942,1.968469921
81,4.7879596,1.968469921
82,4.7879596,3.174111665
83,-0.188274829,-0.156824825
84,3.560928683,2.879062942
85,2.563103131,2.183240735
86,3.463328792,2.127243877
87,2.341662238,1.918233234
88,4.073668263,3.174111665
89,3.560928683,3.289707254
90,3.463328792,1.869178582
91,2.516323122,1.683242467
92,3.667829272,2.563103131
93,3.560928683,1.728320009
94,4.482805455,3.560928683
95,3.463328792,3.560928683
96,2.879062942,2.362517242
97,3.560928683,2.636021795
98,3.667829272,3.068241089
99,2.26067835,-1.821223414
