Id,Gender,Age,Only_Child,Handedness,5、请选择你所在的地区？,6、请选择你的民族？,7、请选择你所学的专业？,8、请选择你的教育程度？,d_prime_goodme_badothers,d_prime_badme_goodothers,IAS_Total,SS_Total,PRCA_Total,PRCA_grouo,PRCA_meeting,PRCA_twopeople,PRCA_public
1,2,22,2,1,江西省/抚州市/临川区,汉族,管理学,本科,3.289707254,2.426679245,53,48,57,14,16,13,14
2,2,29,1,1,广东省/广州市/花都区,汉族,教育学,本科,2.661123026,-1.084924809,34,24,89,22,21,24,22
3,2,22,2,1,河南省/新乡市/新乡县,汉族,理学（其他）,本科,2.611329051,1.869178582,54,52,65,18,17,14,16
4,2,25,2,1,山西省/太原市/迎泽区,汉族,医学,本科,3.919927969,1.968469921,34,32,80,20,19,20,21
5,2,20,2,1,江苏省/南京市/浦口区,汉族,理学（其他）,本科,2.300698761,0.410184631,31,33,73,20,21,18,14
6,2,22,2,1,浙江省/温州市/文成县,汉族,文学,本科,4.7879596,4.160556905,48,47,62,15,16,16,15
7,2,20,2,1,浙江省/金华市/东阳市,汉族,心理学,本科,3.002171892,3.174111665,49,42,66,17,17,17,15
8,2,20,1,1,山西省/晋中市/榆次区,汉族,理学（化学）,本科,3.463328792,2.493440997,56,52,60,16,16,14,14
9,2,23,1,1,四川省/成都市/锦江区,汉族,历史学,本科,2.26067835,1.774293118,51,46,62,16,16,16,14
10,1,16,2,1,海南省/省直辖县级行政区划/临高县,汉族,哲学,高中,0.793188573,-0.251322694,53,42,63,17,13,16,17
11,2,22,2,1,上海市/市辖区/奉贤区,汉族,经济学,硕士,2.939225489,2.636021795,62,50,61,16,16,15,14
12,1,22,2,1,山东省/济南市/槐荫区,汉族,理学（数学）,本科,3.068241089,2.793425291,64,59,45,10,14,10,11
13,2,22,2,1,北京市/市辖区/海淀区,汉族,心理学,本科,3.211459212,2.563103131,57,48,81,22,22,17,20
14,2,20,1,1,山西省/晋中市/榆次区,汉族,理学（化学）,本科,3.560928683,2.183240735,56,52,58,14,16,14,14
15,1,22,2,1,河北省/秦皇岛市/海港区,汉族,工学（机械与自动化类）,本科,3.667829272,1.639004215,43,34,75,20,18,19,18
16,1,21,1,1,北京市/市辖区/海淀区,汉族,工学（计算机类）,本科,4.073668263,4.482805455,39,32,88,22,20,22,24
17,1,20,2,1,江苏省/徐州市/铜山区,回族,教育学,本科,3.560928683,1.469472956,46,40,86,23,20,23,20
18,1,33,1,1,湖南省/长沙市/天心区,汉族,工学（材料类）,本科,3.002171892,2.362517242,26,27,79,25,18,15,21
19,2,21,1,1,浙江省/杭州市/西湖区,汉族,其他专业,本科,3.560928683,2.493440997,45,39,74,17,16,19,22
20,1,22,2,1,广东省/广州市/天河区,汉族,工学（计算机类）,本科,2.939225489,2.300698761,36,26,86,22,21,23,20
21,2,22,2,1,广东省/广州市/天河区,汉族,文学,本科,3.373341633,3.068241089,52,50,60,15,15,16,14
22,1,20,1,1,广东省/广州市/白云区,汉族,工学（机械与自动化类）,本科,2.879062942,2.241003534,30,30,78,18,19,20,21
23,2,20,2,1,河北省/邯郸市/肥乡区,汉族,农学,本科,0.74819082,2.636021795,54,46,64,13,17,16,18
24,2,20,1,1,北京市/市辖区/丰台区,汉族,历史学,本科,3.373341633,3.919927969,59,54,59,16,16,15,12
25,2,19,2,1,浙江省/杭州市/西湖区,汉族,文学,本科,3.463328792,2.712623491,53,43,65,20,17,14,14
26,2,22,2,1,四川省/成都市/郫都区,汉族,工学（材料类）,本科,3.786369069,3.725463735,52,43,71,18,18,19,16
27,2,21,1,1,安徽省/合肥市/蜀山区,汉族,文学,本科,4.482805455,3.068241089,61,52,49,12,14,12,11
28,2,24,2,1,山西省/运城市/盐湖区,汉族,文学,本科,3.786369069,3.417470516,46,42,71,19,18,19,15
29,2,24,1,1,广东省/广州市/白云区,汉族,医学,本科,3.919927969,3.417470516,60,52,58,15,15,14,14
30,2,42,2,1,山东省/济南市/市辖区,汉族,管理学,大专,4.7879596,3.919927969,29,33,81,19,20,22,20
31,2,18,1,1,湖南省/株洲市/荷塘区,土家族,心理学,本科,3.667829272,3.417470516,60,51,62,15,15,16,16
32,2,26,2,1,安徽省/阜阳市/颍东区,汉族,教育学,大专,3.137839265,1.968469921,49,50,71,22,17,16,16
33,1,19,1,1,重庆市/市辖区/开州区,汉族,工学（计算机类）,大专,3.560928683,2.970330914,59,55,71,23,18,16,14
34,1,44,1,2,辽宁省/辽阳市/宏伟区,汉族,理学（物理学）,本科,2.611329051,-0.282936603,57,44,70,23,21,14,12
35,1,21,2,1,北京市/市辖区/石景山区,汉族,理学（其他）,本科,4.256090468,4.482805455,36,28,81,18,19,22,22
36,2,22,2,1,广东省/珠海市/金湾区,汉族,工学（计算机类）,本科,5.276514547,4.482805455,49,46,67,16,17,16,18
37,2,22,2,1,陕西省/西安市/雁塔区,汉族,教育学,本科,3.786369069,1.728320009,58,49,102,26,29,24,23
38,2,25,2,1,天津市/市辖区/滨海新区,汉族,医学,本科,5.276514547,3.289707254,46,37,72,15,21,18,18
39,2,26,2,1,湖北省/孝感市/孝昌县,汉族,文学,硕士,3.373341633,2.183240735,57,44,83,22,22,17,22
40,1,20,2,1,山东省/青岛市/黄岛区,汉族,工学（机械与自动化类）,本科,3.919927969,2.879062942,49,44,65,18,15,15,17
41,1,22,2,1,浙江省/杭州市/西湖区,汉族,工学（其他类）,硕士,4.256090468,2.970330914,73,64,118,28,30,30,30
42,1,24,2,2,江西省/南昌市/新建区,汉族,工学（土木类）,硕士,2.712623491,0.062675964,53,53,64,15,16,15,18
43,1,25,2,1,吉林省/长春市/绿园区,汉族,工学（机械与自动化类）,硕士,3.786369069,3.068241089,21,18,97,23,21,25,28
44,1,24,2,2,陕西省/西安市/长安区,汉族,工学（计算机类）,本科,2.072866779,0,39,42,68,17,18,15,18
45,1,22,2,1,广东省/深圳市/龙华区,汉族,理学（化学）,本科,4.073668263,3.289707254,23,18,99,26,21,26,26
46,1,26,2,1,陕西省/西安市/长安区,汉族,文学,硕士,3.919927969,2.879062942,40,41,71,17,17,17,20
