"Id","Gender","Age","Only_Child","Handedness","X5.请选择你所在的地区.","X6.请选择你的民族.","X7.请选择你所学的专业.","X8.请选择你的教育程度.","d_prime_goodme_badothers","d_prime_badme_goodothers","IAS_Total","SS_Total","PRCA_Total","PRCA_grouo","PRCA_meeting","PRCA_twopeople","PRCA_public","mean_logRT_compatible","mean_logRT_incompatible","IAT_score","Group"
1,2,22,2,1,"江西省/抚州市/临川区","汉族","管理学","本科",3.289707254,2.426679245,53,48,57,14,16,13,14,6.23097577444361,6.45227250996356,0.221296735519954,"High"
3,2,22,2,1,"河南省/新乡市/新乡县","汉族","理学（其他）","本科",2.611329051,1.869178582,54,52,65,18,17,14,16,6.49284507409057,6.54650628641492,0.0536612123243572,"Low"
4,2,25,2,1,"山西省/太原市/迎泽区","汉族","医学","本科",3.919927969,1.968469921,34,32,80,20,19,20,21,6.56391582083756,6.68461997164948,0.120704150811917,"Medium"
6,2,22,2,1,"浙江省/温州市/文成县","汉族","文学","本科",4.7879596,4.160556905,48,47,62,15,16,16,15,6.28943026190577,6.46351177220703,0.174081510301268,"High"
7,2,20,2,1,"浙江省/金华市/东阳市","汉族","心理学","本科",3.002171892,3.174111665,49,42,66,17,17,17,15,6.12610348432989,6.26281692983508,0.136713445505184,"Medium"
8,2,20,1,1,"山西省/晋中市/榆次区","汉族","理学（化学）","本科",3.463328792,2.493440997,56,52,60,16,16,14,14,6.38643277146918,6.49153175358874,0.10509898211956,"Medium"
9,2,23,1,1,"四川省/成都市/锦江区","汉族","历史学","本科",2.26067835,1.774293118,51,46,62,16,16,16,14,6.46443592350773,6.53115749023769,0.0667215667299592,"Low"
11,2,22,2,1,"上海市/市辖区/奉贤区","汉族","经济学","硕士",2.939225489,2.636021795,62,50,61,16,16,15,14,6.52140139089703,6.60803360531189,0.0866322144148555,"Medium"
12,1,22,2,1,"山东省/济南市/槐荫区","汉族","理学（数学）","本科",3.068241089,2.793425291,64,59,45,10,14,10,11,6.25012629543965,6.2919331909824,0.0418068955427513,"Low"
13,2,22,2,1,"北京市/市辖区/海淀区","汉族","心理学","本科",3.211459212,2.563103131,57,48,81,22,22,17,20,6.33639864614069,6.44161025050378,0.105211604363096,"Medium"
14,2,20,1,1,"山西省/晋中市/榆次区","汉族","理学（化学）","本科",3.560928683,2.183240735,56,52,58,14,16,14,14,6.33005355000726,6.38865883519907,0.0586052851918062,"Low"
16,1,21,1,1,"北京市/市辖区/海淀区","汉族","工学（计算机类）","本科",4.073668263,4.482805455,39,32,88,22,20,22,24,6.29340649780286,6.38914682742946,0.0957403296265982,"Medium"
18,1,33,1,1,"湖南省/长沙市/天心区","汉族","工学（材料类）","本科",3.002171892,2.362517242,26,27,79,25,18,15,21,6.51995759332455,6.72477950192478,0.204821908600225,"High"
19,2,21,1,1,"浙江省/杭州市/西湖区","汉族","其他专业","本科",3.560928683,2.493440997,45,39,74,17,16,19,22,6.21814024552406,6.33126765350648,0.113127407982415,"Medium"
20,1,22,2,1,"广东省/广州市/天河区","汉族","工学（计算机类）","本科",2.939225489,2.300698761,36,26,86,22,21,23,20,6.29221299433675,6.42996615555654,0.137753161219789,"Medium"
21,2,22,2,1,"广东省/广州市/天河区","汉族","文学","本科",3.373341633,3.068241089,52,50,60,15,15,16,14,6.25131319222813,6.41862794077834,0.167314748550212,"High"
22,1,20,1,1,"广东省/广州市/白云区","汉族","工学（机械与自动化类）","本科",2.879062942,2.241003534,30,30,78,18,19,20,21,6.62082201067845,6.51693047393303,-0.103891536745421,"Low"
24,2,20,1,1,"北京市/市辖区/丰台区","汉族","历史学","本科",3.373341633,3.919927969,59,54,59,16,16,15,12,6.24562488709464,6.3774080679029,0.131783180808251,"Medium"
