"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"稳重","e",1,0.5677,"","",NA,NA,"24"
"暴躁","i",1,0.5845,"","",NA,NA,"24"
"他","i",1,0.4546,"","",NA,NA,"24"
"俺","e",1,0.4642,"","",NA,NA,"24"
"我的","e",1,0.3672,"","",NA,NA,"24"
"他们","i",1,0.4277,"","",NA,NA,"24"
"无私","e",1,0.4437,"","",NA,NA,"24"
"乐观","e",1,0.4385,"","",NA,NA,"24"
"他们","i",1,0.4548,"","",NA,NA,"24"
"机智","e",1,0.7013,"","",NA,NA,"24"
"冒失","i",1,0.7329,"","",NA,NA,"24"
"执拗","i",1,0.4744,"","",NA,NA,"24"
"其他","i",1,0.5166,"","",NA,NA,"24"
"他的","i",1,0.3667,"","",NA,NA,"24"
"鲁莽","i",1,0.4676,"","",NA,NA,"24"
"诚实","e",1,0.5338,"","",NA,NA,"24"
"诚恳","e",1,0.4357,"","",NA,NA,"24"
"刻薄","i",1,0.5343,"","",NA,NA,"24"
"优秀","e",1,0.4402,"","",NA,NA,"24"
"他的","i",1,0.4348,"","",NA,NA,"24"
"他人","i",1,0.4669,"","",NA,NA,"24"
"认真","e",1,0.6634,"","",NA,NA,"24"
"他","i",0,0.4512,"","",NA,NA,"24"
"他们","i",1,0.475,"","",NA,NA,"24"
"俺","e",1,0.5004,"","",NA,NA,"24"
"自己","e",1,0.5117,"","",NA,NA,"24"
"朴实","e",1,0.5662,"","",NA,NA,"24"
"消极","i",1,0.4924,"","",NA,NA,"24"
"公正","e",1,0.7607,"","",NA,NA,"24"
"俺","e",1,0.5101,"","",NA,NA,"24"
"我们","e",1,0.4864,"","",NA,NA,"24"
"正直","e",1,0.5504,"","",NA,NA,"24"
"我","e",1,0.4199,"","",NA,NA,"24"
"自己","e",1,0.3855,"","",NA,NA,"24"
"他人","i",1,0.4542,"","",NA,NA,"24"
"热情","e",1,0.6172,"","",NA,NA,"24"
"杰出","e",1,0.5071,"","",NA,NA,"24"
"自卑","i",1,0.5462,"","",NA,NA,"24"
"悲观","i",1,0.6161,"","",NA,NA,"24"
"轻率","i",1,0.5353,"","",NA,NA,"24"
"他的","i",1,0.483,"","",NA,NA,"24"
"他人","i",1,0.3688,"","",NA,NA,"24"
"凶狠","i",1,0.5082,"","",NA,NA,"24"
"固执","i",1,0.4175,"","",NA,NA,"24"
