Words,ans,Words_ipn,ans_ipn,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_iso.started,Practice_iso.stopped,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,key_resp_iso.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,fix.stopped,fb.stopped,text.stopped,key_resp_iso.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_ipn.started,Practic_ipn.stopped,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,key_resp_ipn.duration,Feedback_ipn_Practice.started,fb_3.started,Feedback_ipn_Practice.stopped,fb_3.stopped,text_2.stopped,key_resp_ipn.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.013975800000480376,0.025787600003241096,0.025787600003241096,3.131805400000303,space,3.0311667999994825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
,,,,,,,,,,,,,,,,,,,,,3.1318347999986145,3.14168680000148,3.14168680000148,4.366778399999021,space,1.210669300002337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
俺,e,,,0,0,0,4,,,,,4.393105099996319,,,,,,,,,,,,,,,,4.3868404000022565,4.393105099996319,4.867592199996579,4.867603300001065,4.8830298999964725,4.8830298999964725,5.1060284999985015,e,1,0.2208775999970385,None,5.106377299998712,5.12806350000028,6.107465100001718,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
其他,i,,,0,1,1,9,,,,,6.113302300000214,,,,,,,,,,,,,,,,6.107657799999288,6.113302300000214,6.601935600003344,6.601947800001653,6.616662699998415,6.616662699998415,7.155501399996865,e,0,0.5316488000025856,None,7.155701800002134,7.165974999996251,8.155667899998662,6.616662699998415,8.15961889999744,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
他,i,,,0,2,2,5,,,,,8.15961889999744,,,,,,,,,,,,,,,,8.155869100002747,8.15961889999744,8.646480900002643,8.646492499996384,8.652386800000386,8.652386800000386,10.151002600003267,None,0,,,10.15116180000041,10.166040199997951,11.154205300001195,8.652386800000386,11.157278699996823,10.166040199997951,10.166040199997951,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
我们,e,,,0,3,3,2,,,,,11.157278699996823,,,,,,,,,,,,,,,,11.154383699999016,11.157278699996823,11.64261969999643,11.642632499999308,11.655889800000296,11.655889800000296,11.934380099999544,e,1,0.27623310000490164,None,11.934579799999483,11.947899200000393,12.933310100001108,11.655889800000296,12.937664199998835,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
他们,i,,,0,4,4,6,,,,,12.937664199998835,,,,,,,,,,,,,,,,12.93348590000096,12.937664199998835,13.423729499998444,13.423741300000984,13.434122200000274,13.434122200000274,13.669360400002915,i,1,0.2307589000047301,None,13.66958909999812,13.684452900000906,14.671788200001174,13.434122200000274,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
我,e,,,0,5,5,0,,,,,14.676315099997737,,,,,,,,,,,,,,,,14.67195769999671,14.676315099997737,15.165008600000874,15.1650204999969,15.173175199997786,15.173175199997786,16.664405999996234,None,0,,,16.664560899997014,16.67900560000271,17.66490689999773,15.173175199997786,17.67362349999894,16.67900560000271,16.67900560000271,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
我的,e,,,0,6,6,1,,,,,17.67362349999894,,,,,,,,,,,,,,,,17.665088900001138,17.67362349999894,18.160205599997425,18.16021670000191,18.174420800001826,18.174420800001826,18.177139599996735,i,0,2.9755884000041988,None,18.177339299996675,18.1895147000032,19.174863100000948,18.174420800001826,19.18501059999835,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
自己,e,,,0,7,7,3,,,,,19.18501059999835,,,,,,,,,,,,,,,,19.175052600003255,19.18501059999835,19.670332699999562,19.670343899997533,19.6845358999999,19.6845358999999,19.702282099999138,i,0,0.003412999998545274,None,19.702507800000603,19.709844700002577,20.69525789999898,19.6845358999999,20.70711840000149,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
他人,i,,,0,8,8,8,,,,,20.70711840000149,,,,,,,,,,,,,,,,20.695444099997985,20.70711840000149,21.191997900001297,21.192010999999184,21.206217599996307,21.206217599996307,21.20850320000318,i,1,1.4844784999950207,None,21.208696900001087,21.21304709999822,22.202113699997426,21.206217599996307,22.206143299998075,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
他的,i,,,0,9,9,7,,,,,22.206143299998075,,,,,,,,,,,,,,,,22.202445000002626,22.206143299998075,22.700796099998115,22.700808000001416,22.71024110000144,22.71024110000144,22.77195429999847,i,1,None,None,22.77217709999968,22.781140300001425,23.77339000000211,22.71024110000144,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7734289,23.7771173000001,23.7771173000001,25.300871500003268,space,1.5195842999964952,None,,,,,,,,,,,,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
,,公正,e,,,,,0,0,0,13,25.320538300002227,,,,,,,,,,,,,,,,25.31121990000247,25.320538300002227,25.804283999998006,,,,,,,,,,,,,,,,,,,,,,,25.80429500000173,25.819798600001377,25.819798600001377,26.03805519999878,i,0,0.2160896000059438,None,26.038610499999777,26.051740700000664,27.041285100000096,,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
,,虚伪,i,,,,,0,1,1,21,27.047610699999495,,,,,,,,,,,,,,,,27.041476699996565,27.047610699999495,27.53591569999844,,,,,,,,,,,,27.55008749999979,,,,,,,,,,,27.53592799999751,27.55008749999979,27.55008749999979,27.55262860000221,e,0,1.7162443000052008,None,27.5528256999969,27.566589100002602,28.55085240000335,28.55512920000183,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
,,轻率,i,,,,,0,2,2,38,28.55512920000183,,,,,,,,,,,,,,,,28.551040600003034,28.55512920000183,29.04032659999939,,,,,,,,,,,,29.048055100000056,,,,,,,,,,,29.040339099999983,29.048055100000056,29.048055100000056,29.602435499997227,e,0,0.5531103000030271,None,29.602639899996575,29.611912200001825,30.60190000000148,30.60612189999665,,,1,001,2025-03-13_12h33.00.598,IAT(Formal),2024.1.4,None,2025-03-13 12h33.08.704321 +0800,
,,,,,,,,,,,,30.60612189999665,,,,,,,,,,,,,,,,30.602215899998555,30.60612189999665,31.095071499999904,,,,,,,,,,,,31.11052490000293,,,,,,,,,,,31.095082400002866,31.11052490000293,31.11052490000293,32.60043150000274,None,0,,,32.600582200000645,32.60497349999787,,,32.60497349999787,32.60497349999787,,,,,,,,
