Words,ans,Practice_iso.thisRepN,Practice_iso.thisTrialN,Practice_iso.thisN,Practice_iso.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,key_resp.started,Instruction01.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction02.started,Instruction_02.started,key_resp_2.started,Instruction02.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fix.started,fix.started,Fix.stopped,Practice.started,Practice.stopped,key_resp_iso_Practice.keys,key_resp_iso_Practice.corr,Feedback_iso_Practice.started,Feedback_iso_Practice.stopped,iso_stim.started,key_resp_iso_Practice.started,fb.started,fb.stopped,fix.stopped,key_resp_iso_Practice.rt,key_resp_iso_Practice.duration,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.05367220001062378,0.07387670001480728,0.07387670001480728,5.144055500015384,space,5.065362199995434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
,,,,,,,,,,,,,,,5.144077800010564,5.154317700013053,5.154317700013053,6.837375200004317,space,1.674831100011943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
我,e,0,0,0,0,6.853975600010017,,,,,,,,,,,,,,,,6.846586700004991,6.853975600010017,7.340718999999808,7.34073029999854,10.437449099990772,None,0,10.43767330000992,10.443805000017164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
我的,e,0,1,1,1,11.516816699993797,,,,,,,,,,,,,,,,10.443968200008385,,10.443990700005088,10.443995500012534,11.837677500006976,None,0,11.837816200015368,12.835027599998284,11.516816699993797,11.516816699993797,11.849313999991864,12.83833319999394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
俺,e,0,2,2,4,12.83833319999394,,,,,,,,,,,,,,,,12.835183599992888,12.83833319999394,13.324849800002994,13.324864299996989,14.504472200002056,e,1,14.504730799992103,15.5180621999898,14.27403790000244,14.27403790000244,14.516844500001753,,14.27403790000244,0.22528939999756403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
我们,e,0,3,3,2,15.522280800010776,,,,,,,,,,,,,,,,15.518221300008008,15.522280800010776,16.00535610000952,16.005366700002924,17.506088099995395,None,0,17.50621809999575,18.50476070001605,16.945526900002733,16.945526900002733,17.516481400001794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
其他,i,0,4,4,9,18.508857700013323,,,,,,,,,,,,,,,,18.504917899990687,18.508857700013323,19.00480460000108,19.00481710000895,20.805925699998625,None,0,20.806079800007865,21.507001099991612,,,20.81766709999647,,20.81766709999647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
自己,e,0,5,5,3,21.517461400013417,,,,,,,,,,,,,,,,21.507188899995526,21.517461400013417,22.00669030001154,22.006702200014843,23.769379100005608,None,0,23.769757500005653,24.512869300000602,,,23.77939189999597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
他们,i,0,6,6,6,24.51714360000915,,,,,,,,,,,,,,,,24.513032599992584,24.51714360000915,25.018144600006053,25.018156000005547,25.066836600017268,i,1,25.0670245999936,26.05917480000062,25.02289690001635,25.02289690001635,25.07133929998963,26.069655500003137,,0.03273879998596385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
他的,i,0,7,7,7,26.069655500003137,,,,,,,,,,,,,,,,26.05939860001672,26.069655500003137,26.558533900009934,26.558550999994623,26.573488299996825,i,1,26.573727700015297,27.566945500002475,26.569877600006294,26.569877600006294,26.582235900015803,27.583663900004467,26.569877600006294,1.4750831999990623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h36.42.360,IAT(test02),2024.1.4,None,2024-06-17 13h36.49.293060 +0800,
