Words,ans,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,key_resp.started,Instruction01.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction02.started,Instruction_02.started,key_resp_2.started,Instruction02.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_9.started,Practice_iso.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,fix.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.01385099999998829,0.02126519999995935,0.02126519999995935,1.2095052999999893,space,1.183853699999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
,,,,,,,,,,,,,,,1.2095324999999661,1.211876200000006,1.211876200000006,1.6425992999999721,space,0.42845589999996037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
我,e,0,0,0,0,1.657124299999964,,,,,,,,,,,,,,,,1.6542976000000067,1.657124299999964,2.145165200000008,2.145177799999999,2.20271409999998,2.20271409999998,2.9457411999999863,e,0.7394764000000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
他,i,0,1,1,5,2.950939500000004,,,,,,,,,,,,,,,,2.9483763999999724,2.950939500000004,3.436648699999978,3.4366622000000007,3.4538407000000007,3.4538407000000007,4.0254362000000015,i,0.5694114000000354,None,3.4538407000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
我的,e,0,2,2,1,4.029858099999956,,,,,,,,,,,,,,,,4.025771899999995,4.029858099999956,4.515098799999976,4.515108699999985,4.53434249999998,4.53434249999998,4.728036599999996,e,0.19188450000001467,None,4.53434249999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
他们,i,0,3,3,6,4.732929499999955,,,,,,,,,,,,,,,,4.728353599999991,4.732929499999955,5.218357400000002,5.218371599999955,5.239574599999969,5.239574599999969,5.241531399999985,i,0.000661700000023302,None,5.239574599999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
他的,i,0,4,4,7,5.244237599999963,,,,,,,,,,,,,,,,5.241978599999982,5.244237599999963,5.72743909999997,5.7274593999999865,5.732868899999971,5.732868899999971,5.733384699999988,i,0.43248069999998506,None,5.732868899999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
他人,i,0,5,5,8,5.739436999999953,,,,,,,,,,,,,,,,5.7336502,5.739436999999953,6.224852599999963,6.224869999999953,6.243944499999998,6.243944499999998,6.244714399999964,e,0.46152660000001333,None,6.243944499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
其他,i,0,6,6,9,6.246443800000009,,,,,,,,,,,,,,,,6.244994799999972,6.246443800000009,6.734156199999973,6.734170399999982,6.753066999999987,6.753066999999987,6.753884999999968,i,0.4892068999999992,None,6.753066999999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
自己,e,0,7,7,3,6.757093800000007,,,,,,,,,,,,,,,,6.754255699999987,6.757093800000007,7.2425450999999725,7.242558199999962,7.281922299999962,7.281922299999962,7.282477799999981,e,0.4469459000000029,None,7.281922299999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h58.05.258,IAT(test02),2024.1.4,None,2024-06-17 13h58.10.813627 +0800,
