Words,ans,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,key_resp.started,Instruction01.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction02.started,Instruction_02.started,key_resp_2.started,Instruction02.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_9.started,Practice_iso.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,feedback_iso.started,fb.started,fb.stopped,feedback_iso.stopped,fix.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.014344800000003488,0.022531800000024305,0.022531800000024305,1.358289099999979,space,1.2939625000000206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
,,,,,,,,,,,,,,,1.3583155000000033,1.360746899999981,1.360746899999981,2.9726980000000367,space,1.6068228999999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
我,e,0,0,0,0,2.992738300000042,,,,,,,,,,,,,,,,2.9903679999999895,2.992738300000042,3.474810199999979,3.474832200000037,3.4813996000000316,3.4813996000000316,4.130914299999972,e,1,0.6481057999999393,None,4.131341099999986,4.141951000000063,5.1353966000000355,5.129842499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
我的,e,0,1,1,1,5.1353966000000355,,,,,,,,,,,,,,,,5.130057000000079,5.1353966000000355,5.62066660000005,5.620678200000043,5.626090599999998,5.626090599999998,5.972448900000018,e,1,0.3427981000000955,None,5.97267910000005,5.977772100000038,6.971960299999978,6.965852199999972,5.626090599999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
俺,e,0,2,2,4,6.971960299999978,,,,,,,,,,,,,,,,6.96602960000007,6.971960299999978,7.45717609999997,7.45719059999999,7.462485099999981,7.462485099999981,7.542022200000019,i,0,0.07414169999992737,None,7.542258400000037,7.547353600000065,8.538709600000061,8.533168400000022,7.462485099999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
他,i,0,3,3,5,8.538709600000061,,,,,,,,,,,,,,,,8.53374180000003,8.538709600000061,9.026499300000069,9.026511099999993,9.032174499999996,9.032174499999996,9.2325783,e,0,0.19650899999999183,None,9.232796600000029,9.238328300000035,10.23214740000003,10.226585,9.032174499999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
他们,i,0,4,4,6,10.23214740000003,,,,,,,,,,,,,,,,10.226790899999969,10.23214740000003,10.717687800000022,10.717700499999978,10.724439400000051,10.724439400000051,10.814625100000058,i,1,0.08471639999993386,None,10.814820800000007,10.820409700000027,11.814027099999976,11.80844669999999,10.724439400000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
他人,i,0,5,5,8,11.814027099999976,,,,,,,,,,,,,,,,11.808666300000027,11.814027099999976,12.299369100000035,12.299381700000026,12.30522719999999,12.30522719999999,12.742265999999972,e,0,0.4316038000000617,None,12.742520099999979,12.747381799999971,13.741403600000012,13.735914999999977,12.30522719999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
我们,e,0,6,6,2,13.741403600000012,,,,,,,,,,,,,,,,13.736146100000042,13.741403600000012,14.226850200000058,14.226865900000007,14.23212460000002,14.23212460000002,14.68118620000007,e,1,0.447298700000033,None,14.681404600000064,14.686877500000037,15.680839600000013,15.675327300000049,14.23212460000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
他的,i,0,7,7,7,15.680839600000013,,,,,,,,,,,,,,,,15.675519500000064,15.680839600000013,16.166040000000066,16.16605100000004,16.171678900000074,16.171678900000074,16.470175700000027,i,1,0.29696389999992334,None,16.470440000000053,16.4746715,17.46578640000007,17.460391200000004,16.171678900000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_14h02.31.547,IAT(test02),2024.1.4,None,2024-06-17 14h02.39.429877 +0800,
