Words,ans,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp.started,Practice_iso.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,fix.stopped,fb.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.031074500060640275,0.03834850003477186,0.03834850003477186,4.4635214000009,space,4.410045799915679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
,,,,,,,,,,,,,,,4.463557800045237,4.46709719998762,4.46709719998762,5.060614200076088,space,0.5807877000188455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
俺,e,0,0,0,4,5.087562500033528,,,,,,,,,,,,,,,,5.074734800029546,5.087562500033528,5.562889200053178,5.562907400075346,5.579821199993603,5.579821199993603,5.9135736000025645,e,1,0.3181935000466183,None,5.91435029997956,5.9493026999989524,6.91625979996752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
自己,e,0,1,1,3,6.918925000005402,,,,,,,,,,,,,,,,6.916526400018483,6.918925000005402,7.40395080007147,7.403965500066988,7.423577500041574,7.423577500041574,7.469459800049663,i,0,0.04082419991027564,None,7.469718600041233,7.485907700029202,8.469043000019155,7.423577500041574,8.47215479996521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
其他,i,0,2,2,9,8.47215479996521,,,,,,,,,,,,,,,,8.469261300051585,8.47215479996521,8.956769300042652,8.956789100077003,8.978118799976073,8.978118799976073,10.025711699970998,i,1,1.03758140001446,None,10.02605940005742,10.032396099995822,11.023898700019345,8.978118799976073,11.027428500005044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
他人,i,0,3,3,8,11.027428500005044,,,,,,,,,,,,,,,,11.024132500053383,11.027428500005044,11.521517800050788,11.52153560006991,11.544061900000088,11.544061900000088,12.060651600011624,i,1,0.5020645000040531,None,12.061010700068437,12.065725599997677,13.050282899988815,11.544061900000088,13.052661600057036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
他的,i,0,4,4,7,13.052661600057036,,,,,,,,,,,,,,,,13.05050370004028,13.052661600057036,13.53626720001921,13.536286000045948,13.555573899997398,13.555573899997398,14.06258330005221,i,1,0.5035717999562621,None,14.063035500003025,14.067979500046931,15.051079500000924,13.55289749999065,15.05378059996292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
我们,e,0,5,5,2,15.05378059996292,,,,,,,,,,,,,,,,15.0513145000441,15.05378059996292,15.539975099964067,15.539989999961108,15.561562100076117,15.561562100076117,15.890852199983783,e,1,0.31100440002046525,None,15.891169900074601,15.894107099971734,16.891878099995665,15.558444499969482,16.895100999972783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
他,i,0,6,6,5,16.895100999972783,,,,,,,,,,,,,,,,16.89228260004893,16.895100999972783,17.388267899979837,17.38828770001419,17.391640300047584,17.391640300047584,17.94036860007327,i,1,0.5450085001066327,None,17.940642000059597,17.94931599998381,18.93374110001605,17.391640300047584,18.935932200052775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
我,e,0,7,7,0,18.935932200052775,,,,,,,,,,,,,,,,18.934003500035033,18.935932200052775,19.42031890002545,19.420338300056756,19.427491200040095,19.427491200040095,19.952301900018938,e,1,0.5235439999960363,None,19.95255160005763,19.96879389998503,20.963285600068048,19.424280100036412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h51.19.505,IAT(test02),2024.1.4,None,2024-07-05 12h51.27.530040 +0800,
