Words,ans,Words_ipn,ans_ipn,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp.started,Practice_iso.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_2.started,Practic_ipn.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Feedback_ipn_Practice.started,fb_3.started,Feedback_ipn_Practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.10038940003141761,0.15985779999755323,0.15985779999755323,5.064281500061043,space,4.882137499982491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
,,,,,,,,,,,,,,,,,,,,,5.0643110000528395,5.096010999986902,5.096010999986902,5.456314600072801,space,0.3492018999531865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
他们,i,,,0,0,0,6,,,,,5.495247700018808,,,,,,,,,,,,,,,,5.468425699975342,5.495247700018808,5.96033290005289,5.960346900043078,6.003189100068994,6.003189100068994,6.336421400075778,e,0,0.32761629996821284,None,6.336831100052223,6.498702400014736,7.362157099996693,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
我,e,,,0,1,1,0,,,,,7.398635799996555,,,,,,,,,,,,,,,,7.362417900003493,7.398635799996555,7.865658599999733,7.865670599974692,7.892792499973439,7.892792499973439,8.429356800043024,i,0,0.5174093000823632,None,8.429865200072527,8.461117299972102,9.455763000063598,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
其他,i,,,0,2,2,9,,,,,9.46662830002606,,,,,,,,,,,,,,,,9.455947200069204,9.46662830002606,9.955008400022052,9.955029900069349,9.992660099989735,9.992660099989735,10.433075300068595,i,1,0.40029659995343536,None,10.433314000023529,10.472859899979085,11.463468400062993,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
俺,e,,,0,3,3,4,,,,,11.49623559997417,,,,,,,,,,,,,,,,11.463686599978246,11.49623559997417,11.936533199972473,11.93657240003813,11.962128899991512,11.962128899991512,12.425535700051114,i,0,0.45540320000145584,None,12.425768800079823,12.464836500003003,13.43286810000427,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
他的,i,,,0,4,4,7,,,,,13.459692900069058,,,,,,,,,,,,,,,,13.433080299990252,13.459692900069058,13.931821200065315,13.93183370004408,13.975812599994242,13.975812599994242,15.43354520003777,None,0,,,15.433709000004455,15.45766229997389,16.4394948000554,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
自己,e,,,0,5,5,3,,,,,16.459531000000425,,,,,,,,,,,,,,,,16.440163500024937,16.459531000000425,16.944604200078174,16.944619000074454,16.980937400017865,16.980937400017865,17.660457200021483,e,1,0.6687437000218779,None,17.660689200041816,17.692513999994844,18.68569140008185,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
他,i,,,0,6,6,5,,,,,18.696158300037496,,,,,,,,,,,,,,,,18.68588860007003,18.696158300037496,19.191507200011984,19.191529100062326,19.2205016000662,19.2205016000662,19.631161400000565,i,1,0.3806927000405267,None,19.631386399967596,19.6605150999967,20.659124300000258,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
我们,e,,,0,7,7,2,,,,,20.68732240004465,,,,,,,,,,,,,,,,20.659325700020418,20.68732240004465,21.158855400048196,21.15886920003686,21.186469900072552,21.186469900072552,21.738694100058638,e,1,0.5444185000378639,None,21.73890100000426,21.762658799998462,22.76500820007641,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
我的,e,,,0,8,8,1,,,,,22.792959799990058,,,,,,,,,,,,,,,,22.76523470005486,22.792959799990058,23.254551799967885,23.254567399970256,23.26209590001963,23.26209590001963,23.759844699990936,i,0,0.48869770008604974,None,23.76055660005659,23.784668300068006,24.765883999993093,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
他人,i,,,0,9,9,8,,,,,24.792392699979246,,,,,,,,,,,,,,,,24.766069300007075,24.792392699979246,25.262070500059053,25.262084700050764,25.29524060001131,25.29524060001131,25.795280200080015,i,1,0.4759186999872327,None,25.79571560001932,25.82827419997193,26.79840349999722,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.798452000017278,26.822330299997702,26.822330299997702,27.604999199975282,space,0.7583587999688461,None,,,,,,,,,,,,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
,,散漫,i,,,,,0,0,0,31,27.63356940005906,,,,,,,,,,,,,,,,27.61790060007479,27.63356940005906,28.127534899977036,,,,,,,,,,,,,,,,,,,28.127549699973315,28.16225120006129,28.16225120006129,28.7962427000748,e,0,0.606640400015749,None,28.796583599993028,28.8283681999892,29.823177400045097,1,001,2024-07-05_13h01.28.087,IAT(test03),2024.1.4,None,2024-07-05 13h01.47.601711 +0800,
,,,,,,,,,,,,29.831991599989124,,,,,,,,,,,,,,,,29.823375800042413,29.831991599989124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
