Words,ans,Words_ipn,ans_ipn,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp.started,Practice_iso.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,fix.stopped,fb.stopped,text.stopped,key_resp.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_2.started,Practic_ipn.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Feedback_ipn_Practice.started,fb_3.started,Feedback_ipn_Practice.stopped,fb_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.02622549992520362,0.03378149995114654,0.03378149995114654,0.5527175000170246,space,0.5075394000159577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
,,,,,,,,,,,,,,,,,,,,,0.5527503000339493,0.555812899954617,0.555812899954617,1.506368099944666,space,0.9422576000215486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
自己,e,,,0,0,0,3,,,,,1.5329506000271067,,,,,,,,,,,,,,,,1.5216279999585822,1.5329506000271067,2.0067961999448016,2.0068159999791533,2.0567261999240145,2.0567261999240145,2.534897399949841,e,1,0.45984299993142486,None,2.535735199926421,2.563106199959293,3.552141899941489,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
我的,e,,,0,1,1,1,,,,,3.5550536999944597,,,,,,,,,,,,,,,,3.552424699999392,3.5550536999944597,4.051949099986814,4.051963799982332,4.075514700030908,4.075514700030908,4.535965199931525,i,0,0.4561081000138074,None,4.53626650001388,4.554935300024226,5.538638400030322,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
俺,e,,,0,2,2,4,,,,,5.543581899954006,,,,,,,,,,,,,,,,5.539035000023432,5.543581899954006,6.029197899973951,6.029218800016679,6.039363899966702,6.039363899966702,6.466359699959867,e,1,0.42245139996521175,None,6.466663499944843,6.473570500034839,7.458926599938422,6.039363899966702,7.463106999988668,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
其他,i,,,0,3,3,9,,,,,7.463106999988668,,,,,,,,,,,,,,,,7.459300499991514,7.463106999988668,7.946986899944022,7.947020199964754,7.960822399938479,7.960822399938479,8.40426799992565,i,1,0.43429750006180257,None,8.404865499935113,8.411597199970856,9.400640500010923,7.957162900012918,9.405440700007603,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
他们,i,,,0,4,4,6,,,,,9.405440700007603,,,,,,,,,,,,,,,,9.401000599958934,9.405440700007603,9.89894640003331,9.898962199920788,9.921606199932285,9.921606199932285,10.21356529998593,i,1,0.29028670000843704,None,10.214017299935222,10.21779060002882,11.201146099949256,9.921606199932285,11.21518840000499,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
他的,i,,,0,5,5,7,,,,,11.21518840000499,,,,,,,,,,,,,,,,11.201490600011311,11.21518840000499,11.700592799927108,11.700635500019416,11.705842299968936,11.705842299968936,13.20331290003378,None,0,,,13.203545399941504,13.209107200033031,14.198245899984613,11.705842299968936,14.207240500021726,13.209107200033031,13.209107200033031,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
我,e,,,0,6,6,0,,,,,14.207240500021726,,,,,,,,,,,,,,,,14.198545099934563,14.207240500021726,14.700492099975236,14.700520199956372,14.706071599968709,14.706071599968709,15.240271199960262,i,0,0.5310555000323802,None,15.241049999953248,15.247119699954055,16.230292699998245,14.706071599968709,16.2459402999375,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
他人,i,,,0,7,7,8,,,,,16.2459402999375,,,,,,,,,,,,,,,,16.230595299974084,16.2459402999375,16.73275880003348,16.73278920003213,16.743389099952765,16.743389099952765,16.938855899963528,e,0,0.18718499992974102,None,16.939162499969825,16.943175500025973,17.929575099959038,16.743389099952765,17.93312329996843,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_13h02.42.579,IAT(test03),2024.1.4,None,2024-07-05 13h02.50.593531 +0800,
