Words,ans,Words_ipn,ans_ipn,Words_t1,ans_t1,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp.started,Practice_iso.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,fix.stopped,fb.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_2.started,Practic_ipn.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Feedback_ipn_Practice.started,fb_3.started,Feedback_ipn_Practice.stopped,fb_3.stopped,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Practice_t1.started,text_3.started,key_resp_t1.started,Practice_t1.stopped,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,key_resp_t1.duration,Feedback_t1.started,fb_2.started,fb_2.stopped,Feedback_t1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.13772630004677922,0.14780280005652457,0.14780280005652457,0.8007371000712737,space,0.645284799975343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8007707000942901,0.814001900027506,0.814001900027506,3.462544900015928,space,2.6451253000414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
自己,e,,,,,0,0,0,3,,,,,,,,,3.4809880000539124,,,,,,,,,,,,,,,,3.4765299001010135,3.4809880000539124,3.9742155000567436,3.974234800087288,4.009290000074543,4.009290000074543,4.321265800041147,e,1,0.30751479999162257,None,4.322202800074592,4.350174800027162,5.324159400071949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
他,i,,,,,0,1,1,5,,,,,,,,,5.329729900113307,,,,,,,,,,,,,,,,5.324799200054258,5.329729900113307,5.818349200068042,5.818367800093256,5.832565700053237,5.832565700053237,6.169600100023672,i,1,0.33211950003169477,None,6.170244000037201,6.181647400022484,7.16559510002844,5.832565700053237,7.1700675000902265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
我们,e,,,,,0,2,2,2,,,,,,,,,7.1700675000902265,,,,,,,,,,,,,,,,7.165962300030515,7.1700675000902265,7.65447900001891,7.654502400080673,7.671024100040086,7.671024100040086,8.134217200102285,e,1,0.4573558000847697,None,8.134998599998653,8.14124620007351,9.125644200015813,7.671024100040086,9.130804800079204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
其他,i,,,,,0,3,3,9,,,,,,,,,9.130804800079204,,,,,,,,,,,,,,,,9.125923900050111,9.130804800079204,9.614625900052488,9.614713700022548,9.632694200030528,9.632694200030528,10.068550800089724,i,1,0.4294362000655383,None,10.068964200094342,10.073533400078304,11.060642500058748,9.62789000000339,11.068328100023791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
他人,i,,,,,0,4,4,8,,,,,,,,,11.068328100023791,,,,,,,,,,,,,,,,11.061144500039518,11.068328100023791,11.552680400083773,11.552708200062625,11.57988600002136,11.57988600002136,11.792454000096768,e,0,0.20582200004719198,None,11.79301970009692,11.828586900024675,12.796658100094646,11.57988600002136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
俺,e,,,,,0,5,5,4,,,,,,,,,12.803707600105554,,,,,,,,,,,,,,,,12.796929000061937,12.803707600105554,13.291788100032136,13.291809200076386,13.306658900110051,13.306658900110051,14.811555900028907,None,0,,,14.811775700072758,14.815875700092874,15.794923200039193,13.306658900110051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
我的,e,,,,,0,6,6,1,,,,,,,,,15.799612900009379,,,,,,,,,,,,,,,,15.795746500021778,15.799612900009379,16.287083400064148,16.287119600106962,16.30049300007522,16.30049300007522,17.085019700112753,e,1,0.780677399947308,None,17.08540229999926,17.095936000114307,18.080766300088726,16.30049300007522,18.084684300003573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
我,e,,,,,0,7,7,0,,,,,,,,,18.084684300003573,,,,,,,,,,,,,,,,18.081319700111635,18.084684300003573,18.569708400056697,18.56973030010704,18.578605700051412,18.578605700051412,19.060993600054644,i,0,0.4770491999806836,None,19.06127050006762,19.070403800113127,20.058301400044,18.578605700051412,20.062317900010385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h27.47.700,IAT(test03),2024.1.4,None,2024-07-05 14h27.57.078039 +0800,
