Words,ans,Words_ipn,ans_ipn,Words_t1,ans_t1,Words_t2,ans_t2,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_ipn_Reverse.thisRepN,Practice_ipn_Reverse.thisTrialN,Practice_ipn_Reverse.thisN,Practice_ipn_Reverse.thisIndex,Formal_t2.thisRepN,Formal_t2.thisTrialN,Formal_t2.thisN,Formal_t2.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_iso.started,Practice_iso.stopped,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,key_resp_iso.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_ipn.started,Practic_ipn.stopped,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,key_resp_ipn.duration,Feedback_ipn_Practice.started,fb_3.started,Feedback_ipn_Practice.stopped,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Practice_t1.started,text_3.started,key_resp_t1.started,Practice_t1.stopped,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,key_resp_t1.duration,Feedback_t1.started,fb_2.started,Feedback_t1.stopped,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Practice_iso_reverse.started,text_4.started,key_resp_iso_reverse.started,Practice_iso_reverse.stopped,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,key_resp_iso_reverse.duration,Feedback_iso_reverse.started,fb_4.started,Feedback_iso_reverse.stopped,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Practice_ipn_reverse.started,text_5.started,key_resp_ipn_reverse.started,Practice_ipn_reverse.stopped,key_resp_ipn_reverse.keys,key_resp_ipn_reverse.corr,key_resp_ipn_reverse.rt,key_resp_ipn_reverse.duration,Feedback_ipn_reverse.started,fb_5.started,Feedback_ipn_reverse.stopped,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,Practice_t2.started,text_6.started,key_resp_t2.started,Practice_t2.stopped,key_resp_t2.keys,key_resp_t2.corr,key_resp_t2.rt,key_resp_t2.duration,Feedback_t2.started,fb_6.started,Feedback_t2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1958696999354288,0.2331347999861464,0.2331347999861464,1.3117564999265596,space,0.9658537999494001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3118015999207273,1.3718166999751702,1.3718166999751702,1.706857799901627,space,0.3148203999735415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
他的,i,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,1.8072654999559745,,,,,,,,,,,,,,,,1.7480664999457076,1.8072654999559745,2.254330899915658,2.254831999889575,2.3094414999941364,2.3094414999941364,2.514117799932137,e,0,0.1837647999636829,None,2.516148099908605,2.5612121999729425,3.5647400999441743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
自己,e,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,3.6112866998882964,,,,,,,,,,,,,,,,3.564999399939552,3.6112866998882964,4.03816629992798,4.0381867999676615,4.089897799887694,4.089897799887694,4.666663499898277,e,1,0.5553626000182703,None,4.667040799977258,4.699623299995437,5.671615100000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
他们,i,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,5.704942399985157,,,,,,,,,,,,,,,,5.671957099926658,5.704942399985157,6.207565199933015,6.20778319996316,6.246441899915226,6.246441899915226,7.096356899943203,i,1,0.8344975000945851,None,7.096622499986552,7.128380899899639,8.142240199958906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
我的,e,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,8.189090399886481,,,,,,,,,,,,,,,,8.142886099987663,8.189090399886481,8.626631199964322,8.626645799959078,8.702745299902745,8.702745299902745,9.384710599901155,e,1,0.6777002000017092,None,9.385305999894626,9.44004249991849,10.409646599902771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
他人,i,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,10.464047699933872,,,,,,,,,,,,,,,,10.410342199960724,10.464047699933872,10.928422799916007,10.928474199958146,11.002794399973936,11.002794399973936,11.450090799946338,i,1,0.4389172000810504,None,11.450648599886335,11.4961146999849,12.469183899927884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
其他,i,,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,12.505120799993165,,,,,,,,,,,,,,,,12.469565699924715,12.505120799993165,12.96359569998458,12.96361429989338,13.013208499993198,13.013208499993198,13.62129289994482,i,1,0.6028944998979568,None,13.622345399926417,13.672494399943389,14.635266799945384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
我,e,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,14.667707299930044,,,,,,,,,,,,,,,,14.635558299953118,14.667707299930044,15.153193699894473,15.153236799989827,15.196765099884942,15.196765099884942,15.739410699927248,e,1,0.519065500004217,None,15.739740599994548,15.800996099947952,16.756120499921963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
俺,e,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,16.795191299985163,,,,,,,,,,,,,,,,16.756687499932013,16.795191299985163,17.273693099967204,17.273713299888186,17.328622599947266,17.328622599947266,18.020914699998684,e,1,0.6655236000660807,None,18.02185959997587,18.061555599910207,19.068667499930598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
