Words,ans,Words_ipn,ans_ipn,Words_t1,ans_t1,Words_t2,ans_t2,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_iso.started,Practice_iso.stopped,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,key_resp_iso.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,fix.stopped,fb.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_ipn.started,Practic_ipn.stopped,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,key_resp_ipn.duration,Feedback_ipn_Practice.started,fb_3.started,fb_3.stopped,Feedback_ipn_Practice.stopped,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Practice_t1.started,text_3.started,key_resp_t1.started,Practice_t1.stopped,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,key_resp_t1.duration,Feedback_t1.started,fb_2.started,Feedback_t1.stopped,fb_2.stopped,text_3.stopped,key_resp_t1.stopped,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Practice_iso_reverse.started,text_4.started,key_resp_iso_reverse.started,Practice_iso_reverse.stopped,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,key_resp_iso_reverse.duration,Feedback_iso_reverse.started,fb_4.started,fb_4.stopped,Feedback_iso_reverse.stopped,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Practice_t2_reverse.started,text_5.started,key_resp_t2_reverse.started,Practice_t2_reverse.stopped,key_resp_t2_reverse.keys,key_resp_t2_reverse.corr,key_resp_t2_reverse.rt,key_resp_t2_reverse.duration,Feedback_t2_reverse.started,fb_7.started,fb_7.stopped,Feedback_t2_reverse.stopped,text_5.stopped,key_resp_t2_reverse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005236000055447221,0.019551899982616305,0.019551899982616305,2.1559124998748302,space,2.0773398000746965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.155944800004363,2.1596595998853445,2.1596595998853445,3.1696462999098003,space,1.0048960000276566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
俺,e,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,3.1877196000423282,,,,,,,,,,,,,,,,3.181859500007704,3.1877196000423282,3.672081199940294,3.672094800043851,3.68852819991298,3.68852819991298,4.258713499875739,e,1,0.5682745999656618,None,4.259145600022748,4.289088299963623,5.2592783998698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
其他,i,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,5.262969400035217,,,,,,,,,,,,,,,,5.2595412998925894,5.262969400035217,5.7542779999785125,5.75430199992843,5.775736500043422,5.775736500043422,6.3244149999227375,i,1,0.5350129001308233,None,6.324698699871078,6.328374299919233,7.322172800078988,5.775736500043422,7.326313199941069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
我的,e,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,7.326313199941069,,,,,,,,,,,,,,,,7.322410200024024,7.326313199941069,7.821550599997863,7.821566700004041,7.84268040000461,7.84268040000461,8.421605299925432,i,0,0.5696660000830889,None,8.421909699914977,8.443091599969193,9.424056800082326,7.84268040000461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
他人,i,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,9.42607060004957,,,,,,,,,,,,,,,,9.424303899984807,9.42607060004957,9.924220399931073,9.924236699938774,9.943506899988279,9.943506899988279,10.374104799935594,i,1,0.4274933999404311,None,10.374366600066423,10.390761899994686,11.37371820001863,,11.39022669987753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
我们,e,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,11.39022669987753,,,,,,,,,,,,,,,,11.373923500068486,11.39022669987753,11.88715359987691,11.88716879999265,11.906633399892598,11.906633399892598,12.393661400070414,e,1,0.4843477997928858,None,12.393916900036857,12.397210699971765,13.39057829999365,,13.39308589999564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
我,e,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,13.39308589999564,,,,,,,,,,,,,,,,13.390814899932593,13.39308589999564,13.886761700036004,13.886781400069594,13.890430700033903,13.890430700033903,14.369501299923286,e,1,0.47339900000952184,None,14.369755799882114,14.373361499980092,15.357490699971095,13.890430700033903,15.359568800078705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
自己,e,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,15.359568800078705,,,,,,,,,,,,,,,,15.357719500083476,15.359568800078705,15.858286099974066,15.858301499858499,15.879720499971882,15.879720499971882,16.288566200062633,e,1,0.4031598998699337,None,16.288855999941006,16.29394569993019,17.287673499900848,15.879720499971882,17.290757699869573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
他的,i,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,17.290757699869573,,,,,,,,,,,,,,,,17.28792400006205,17.290757699869573,17.77374510001391,17.773758800001815,17.789802900049835,17.789802900049835,18.19236469990574,e,0,0.39611199987120926,None,18.192630500067025,18.19988580001518,19.19083199999295,17.789802900049835,19.193959299940616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
