Words,ans,Words_t2,ans_t2,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Fix.started,fix.started,Fix.stopped,Practice_iso_reverse.started,text_4.started,key_resp_iso_reverse.started,Practice_iso_reverse.stopped,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,key_resp_iso_reverse.duration,Feedback_iso_reverse.started,fb_4.started,Feedback_iso_reverse.stopped,fb_4.stopped,fix.stopped,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Practice_t2_reverse.started,text_5.started,key_resp_t2_Practice.started,Practice_t2_reverse.stopped,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,key_resp_t2_Practice.rt,key_resp_t2_Practice.duration,Feedback_t2_reverse.started,fb_7.started,fb_7.stopped,Feedback_t2_reverse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006522499956190586,0.014509700005874038,0.014509700005874038,0.7553747999481857,space,0.7267736000940204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7554142998997122,0.759921699995175,0.759921699995175,1.3600717999506742,space,0.5985018000937998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.375753300031647,1.379036600003019,1.379036600003019,1.8861920000053942,space,0.4915219000540674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8980998999904841,1.903074299916625,1.903074299916625,2.427491700043902,space,0.5064031998626888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.441799599910155,2.4441523998975754,2.4441523998975754,2.8868545000441372,space,0.4274654001928866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.900035899830982,2.9037539998535067,2.9037539998535067,3.3553977999836206,space,0.4499224000610411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
他,e,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,3.371079499833286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.366094899829477,3.371079499833286,3.855495600029826,3.8555089000146836,3.8727706999052316,3.8727706999052316,4.4108012998476624,e,1,0.534249700140208,None,4.41123709990643,4.427086099982262,5.419398199999705,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
其他,e,,,,,,,,,,,,,,,,,,,0,1,1,9,,,,,5.4220638000406325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.419665299821645,5.4220638000406325,5.917792299995199,5.9178082998842,5.937199600040913,5.937199600040913,6.235286499839276,i,0,0.2944110999815166,None,6.2355436000507325,6.252436300041154,7.235817099921405,7.239272699924186,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
他们,e,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,7.239272699924186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.236151699908078,7.239272699924186,7.727295499993488,7.727323199855164,7.741814799839631,7.741814799839631,8.070233499864116,e,1,0.32355360011570156,None,8.070621199905872,8.087439799914137,9.086287999991328,,7.741814799839631,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
我的,i,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,9.09108559996821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.086854099994525,9.09108559996821,9.583486699964851,9.583505099872127,9.602523499866948,9.602523499866948,10.032820099964738,i,1,0.41588620003312826,None,10.033126599853858,10.03662270004861,11.01995739992708,11.022501099854708,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h28.24.247,IAT(test06),2024.1.4,None,2024-07-08 19h28.31.507120 +0800,
