Words,ans,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Fix.started,fix.started,Fix.stopped,Practice_iso_reverse.started,text_4.started,key_resp_iso_reverse.started,Practice_iso_reverse.stopped,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,key_resp_iso_reverse.duration,Feedback_iso_reverse.started,fb_4.started,Feedback_iso_reverse.stopped,fb_4.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.027476999908685684,0.03482920001260936,0.03482920001260936,0.5019910999108106,space,0.4616113998927176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5020278000738472,0.5078650999348611,0.5078650999348611,1.5297447999473661,space,1.0196760001126677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.543499399907887,1.547719599911943,1.547719599911943,1.8561676999088377,space,0.3068794999271631,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.869543599896133,1.8757616998627782,1.8757616998627782,2.1037395000457764,space,0.22170719993300736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1193722998723388,2.1244518000166863,2.1244518000166863,2.4144397999625653,space,0.2870665001682937,None,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4303617998957634,2.4385236999951303,2.4385236999951303,2.7207003999501467,space,0.26923589990474284,None,,,,,,,,,,,,,,,,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
他们,e,,,,,,,,,,,,,,,,,0,0,0,6,2.7378668999299407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7323056999593973,2.7378668999299407,3.230465200031176,3.2304906998761,3.2549230998847634,3.2549230998847634,3.5623413999564946,e,1,0.2924955999478698,None,3.562769199954346,3.5926164998672903,4.605284699937329,,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
他,e,,,,,,,,,,,,,,,,,0,1,1,5,4.607827299972996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.605606500059366,4.607827299972996,5.065708799986169,5.06572509999387,5.073116000043228,5.073116000043228,5.329904499929398,i,0,0.2530566998757422,None,5.330205400008708,5.3490907999221236,6.331749399891123,,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
我,i,,,,,,,,,,,,,,,,,0,2,2,0,6.350061999866739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.332009899895638,6.350061999866739,6.831691500032321,6.831709499936551,6.841562299989164,6.841562299989164,7.102991099935025,e,0,0.25796480011194944,None,7.103293699910864,7.111956299981102,8.103708100039512,8.107474099844694,,1,001,2024-07-08_20h05.28.363,IAT(test06),2024.1.4,None,2024-07-08 20h05.37.607026 +0800,
,,,,,,,,,,,,,,,,,,,,,,8.107474099844694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.104024000000209,8.107474099844694,8.591957999859005,8.59197559999302,8.606641799909994,8.606641799909994,8.797778399894014,i,0,0.18666939996182919,None,8.798046600073576,8.80175850004889,,,8.606641799909994,,,,,,,,
