Words,ans,Practice_iso.thisRepN,Practice_iso.thisTrialN,Practice_iso.thisN,Practice_iso.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,key_resp.started,Instruction01.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction02.started,Instruction_02.started,key_resp_2.started,Instruction02.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fix.started,fix.started,Fix.stopped,Practice.started,Practice.stopped,key_resp_iso_Practice.keys,key_resp_iso_Practice.corr,Feedback_iso_Practice.started,Feedback_iso_Practice.stopped,fb.started,fix.stopped,iso_stim.started,key_resp_iso_Practice.started,key_resp_iso_Practice.rt,key_resp_iso_Practice.duration,fb.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.03716729997540824,0.05182629998307675,0.05182629998307675,3.4139426999900024,space,3.3540366999804974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
,,,,,,,,,,,,,,,3.41396619999432,3.4253767999762204,3.4253767999762204,3.8337648999877274,space,0.4068235000013374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
他的,i,0,0,0,7,3.8530507999821566,,,,,,,,,,,,,,,,3.8428674999740906,3.8530507999821566,4.335360500001116,4.335371299996041,7.945488699973794,None,0,7.94574929997907,7.951240199996391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
我们,e,0,1,1,2,9.561190899985377,,,,,,,,,,,,,,,,7.951406799984397,,7.951430699991761,7.951435299997684,9.504685799998697,None,0,9.50481439998839,9.835577499994542,9.561190899985377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
他,i,0,2,2,5,9.839229799981695,,,,,,,,,,,,,,,,9.835727799974848,9.839229799981695,10.328954799973872,10.328965499997139,10.414158699975815,e,0,10.414422399975592,11.423378999985289,10.427383399975952,10.33911359999911,10.33911359999911,10.33911359999911,0.06874789998983033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
自己,e,0,3,3,3,11.428006899979664,,,,,,,,,,,,,,,,11.423562299984042,11.428006899979664,11.916188799979864,11.916199300001608,13.431324199977098,None,0,13.431482499989215,14.415973700000905,13.439805999980308,,13.429036899993662,13.429036899993662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
他人,i,0,4,4,8,14.419932799995877,,,,,,,,,,,,,,,,14.416128199984087,14.419932799995877,14.904465200001141,14.904477399977623,15.78031179998652,e,0,15.780494099977659,16.777892199985217,15.793673399981344,15.709780099976342,15.709780099976342,15.709780099976342,0.06531410000752658,None,16.78191349998815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
俺,e,0,5,5,4,16.78191349998815,,,,,,,,,,,,,,,,16.778068399988115,16.78191349998815,17.272898199997144,17.27290829998674,18.158259099989664,e,1,18.15857529998175,19.153188500000397,18.167187299986836,18.07804860000033,18.07804860000033,18.07804860000033,None,None,19.167275399988284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
我的,e,0,6,6,1,19.167275399988284,,,,,,,,,,,,,,,,19.153352699999232,19.167275399988284,19.655775399995036,19.65578779997304,19.754631699994206,e,1,19.75481679997756,20.754969000001438,19.769262099987827,19.669050699973013,19.669050699973013,19.669050699973013,0.0789838999917265,None,20.75942899999791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
我,e,0,7,7,0,20.75942899999791,,,,,,,,,,,,,,,,20.755183399975067,20.75942899999791,21.247756899974775,21.24776839997503,21.32990929999505,e,1,21.330102499981876,22.32951729997876,21.343866199982585,21.252274899976328,21.252274899976328,21.252274899976328,0.07344480001484044,None,22.335234599973774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
其他,i,0,8,8,9,22.335234599973774,,,,,,,,,,,,,,,,22.32970239999122,22.335234599973774,22.82467489998089,22.824686999985715,23.710859299986623,e,0,23.711153899988858,24.7136861999752,23.724904299975606,23.636458199995104,23.636458199995104,23.636458199995104,0.0687181000248529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
他们,i,0,9,9,6,24.718380899983458,,,,,,,,,,,,,,,,24.713851899985457,24.718380899983458,25.216721299977507,25.216732100001536,25.235540399997262,e,0,25.235745799989672,26.238564999977825,25.250013099983335,,25.227743999974336,25.227743999974336,0.004808300000149757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.23860519999289,26.24798849999206,26.24798849999206,27.18235069999355,space,0.9249386999872513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.18237529997714,27.19963909999933,27.19963909999933,27.381282399990596,space,0.1740696999768261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.381304599985015,27.39366199998767,27.39366199998767,27.532014500000514,space,0.13201889998163097,None,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h43.21.299,IAT(test02),2024.1.4,None,2024-06-17 13h43.26.834512 +0800,
