Words,ans,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,key_resp.started,Instruction01.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction02.started,Instruction_02.started,key_resp_2.started,Instruction02.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fix.started,fix.started,fix.stopped,Fix.stopped,Practice_iso.started,text.started,key_resp_9.started,Practice_iso.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.012731699999903867,0.019307099999991806,0.019307099999991806,4.432735399999956,space,4.4091534000000365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
,,,,,,,,,,,,,,,4.4327566999999135,4.438178999999991,4.438178999999991,5.196229899999935,space,0.7556299000000308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
我们,e,0,0,0,2,5.209041299999967,,,,,,,,,,,,,,,,5.205857999999921,5.209041299999967,5.701569899999981,5.69290819999992,5.692920999999956,5.701569899999981,5.701569899999981,6.359751099999926,e,0.6533070000000407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
其他,i,0,1,1,9,6.36837259999993,,,,,,,,,,,,,,,,6.360125999999923,6.36837259999993,6.862379899999951,6.856743999999935,6.856755499999963,6.862379899999951,6.862379899999951,7.365905199999929,e,0.49847350000004553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
我的,e,0,2,2,1,7.371519499999977,,,,,,,,,,,,,,,,7.366139599999997,7.371519499999977,7.862552399999913,7.856657100000007,7.856669000000011,7.862552399999913,7.862552399999913,8.548006600000008,e,0.6795391999999083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
俺,e,0,3,3,4,8.553430399999911,,,,,,,,,,,,,,,,8.548248199999989,8.553430399999911,9.0443297999999,9.038695399999938,9.038706299999944,9.0443297999999,9.0443297999999,9.553892899999937,e,0.5081974000000855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
他,i,0,4,4,5,9.559352999999987,,,,,,,,,,,,,,,,9.554118899999935,9.559352999999987,10.050278899999967,10.044583799999941,10.044595099999924,10.050278899999967,10.050278899999967,10.802359499999966,i,0.7470356000000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
我,e,0,5,5,0,10.807791799999904,,,,,,,,,,,,,,,,10.802578599999947,10.807791799999904,11.29875579999998,11.293082499999969,11.293092699999988,11.29875579999998,11.29875579999998,11.766056899999967,e,0.4619679999999562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
他们,i,0,6,6,6,11.7717126,,,,,,,,,,,,,,,,11.766276999999945,11.7717126,12.262430199999926,12.256723299999976,12.256734299999948,12.262430199999926,12.262430199999926,12.850914799999941,e,0.5846811999999773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
自己,e,0,7,7,3,12.856369399999949,,,,,,,,,,,,,,,,12.851152999999954,12.856369399999949,13.34861909999995,13.341544999999996,13.341556399999945,13.34861909999995,13.34861909999995,13.923706299999935,i,0.5741575999999213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
他人,i,0,8,8,8,13.929123599999912,,,,,,,,,,,,,,,,13.923941599999921,13.929123599999912,14.420046599999978,14.414242899999977,14.41425419999996,14.420046599999978,14.420046599999978,14.675136399999928,e,0.24892859999999928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
他的,i,0,9,9,7,14.680724099999907,,,,,,,,,,,,,,,,14.675430299999903,14.680724099999907,15.171469099999968,15.165818999999942,15.165828899999951,15.171469099999968,15.171469099999968,15.172034499999995,e,0.715760400000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.172196299999996,15.177558299999987,15.177558299999987,15.838506699999925,space,0.6574947000000293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.838527099999965,15.844247199999927,15.844247199999927,16.03849649999995,space,0.19207570000003216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.038518599999975,16.044232299999976,16.044232299999976,16.239036399999918,space,0.1935192000000825,None,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.239065799999935,16.244140299999913,16.244140299999913,16.450816799999984,space,0.20203720000006342,None,,,,,,,,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.450840799999924,16.45641909999995,16.45641909999995,16.63264079999999,space,0.17059930000004897,None,,,,,,,,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.632663399999956,16.638159299999984,16.638159299999984,16.826424900000006,space,0.18442449999997734,None,1,001,2024-06-17_13h59.20.860,IAT(test02),2024.1.4,None,2024-06-17 13h59.26.075374 +0800,
