Words,ans,Words_ipn,ans_ipn,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp.started,Practice_iso.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,fix.stopped,fb.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_2.started,Practic_ipn.stopped,key_resp_2.keys,key_resp_2.corr,Feedback_ipn_Practice.started,fb_3.started,Feedback_ipn_Practice.stopped,key_resp_2.rt,key_resp_2.duration,fb_3.stopped,text_2.stopped,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.03434410004410893,0.04722020006738603,0.04722020006738603,1.4762133000185713,space,1.4216307000024244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,,,,,,,,,,,,,,,,,,,,1.4762562999967486,1.479427000042051,1.479427000042051,3.6211026000091806,space,2.136037699994631,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
俺,e,,,0,0,0,4,,,,,3.637082700035535,,,,,,,,,,,,,,,,3.6339941000333056,3.637082700035535,4.124709299998358,4.124734400073066,4.145238299970515,4.145238299970515,4.469548200024292,e,1,0.3166490000439808,None,4.469991200021468,4.48984890000429,5.4724188999971375,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
我,e,,,0,1,1,0,,,,,5.4762544999830425,,,,,,,,,,,,,,,,5.472793500055559,5.4762544999830425,5.969075700035319,5.969098699977621,5.993766500032507,5.993766500032507,6.345173500012606,i,0,0.34447330003604293,None,6.345473499968648,6.364935799967498,7.349109800066799,5.993766500032507,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
他,i,,,0,2,2,5,,,,,7.354278599959798,,,,,,,,,,,,,,,,7.349461100064218,7.354278599959798,7.842796799959615,7.842828699969687,7.866226500016637,7.866226500016637,8.309642100008205,i,1,0.4311334000667557,None,8.310026500024833,8.316514300066046,9.302970899967477,7.866226500016637,9.306922500021756,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
我的,e,,,0,3,3,1,,,,,9.306922500021756,,,,,,,,,,,,,,,,9.30320850003045,9.306922500021756,9.794957100064494,9.794985100044869,9.817301100003533,9.817301100003533,10.307075000018813,e,1,0.4795663000550121,None,10.307535500032827,10.311355000012554,11.306780499988236,9.817301100003533,11.311145900050178,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
他人,i,,,0,4,4,8,,,,,11.311145900050178,,,,,,,,,,,,,,,,11.307206599973142,11.311145900050178,11.803070200025104,11.803097900003195,11.821373100043274,11.821373100043274,12.375716699985787,i,1,0.5513541999971494,None,12.376002500066534,12.392455899971537,13.385252800071612,11.821373100043274,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
其他,i,,,0,5,5,9,,,,,13.390016400022432,,,,,,,,,,,,,,,,13.385546199977398,13.390016400022432,13.8739254999673,13.873946800013073,13.892666700063273,13.892666700063273,14.424875700031407,i,1,0.5200908000115305,None,14.425153100048192,14.428293799981475,15.41173880000133,13.892666700063273,15.425904500065371,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
自己,e,,,0,6,6,3,,,,,15.425904500065371,,,,,,,,,,,,,,,,15.412043999996968,15.425904500065371,15.92131010000594,15.921336099971086,15.945640500052832,15.945640500052832,16.406465400010347,e,1,0.45714309997856617,None,16.406899100053124,16.410980600048788,17.40237879997585,15.945640500052832,17.405266499961726,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
他们,i,,,0,7,7,6,,,,,17.405266499961726,,,,,,,,,,,,,,,,17.40262629999779,17.405266499961726,17.899982400005683,17.899997400003485,17.920587899978273,17.920587899978273,18.409448500024155,i,1,0.48497720004525036,None,18.409874700009823,18.414773800061084,19.40367370005697,17.920587899978273,19.407860000035726,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
我们,e,,,0,8,8,2,,,,,19.407860000035726,,,,,,,,,,,,,,,,19.403963200049475,19.407860000035726,19.892014599987306,19.892029399983585,19.91134570003487,19.91134570003487,20.28358930000104,e,1,0.36487409996334463,None,20.284004600020126,20.287849199958146,21.278197700041346,19.907119899988174,21.281904899980873,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
他的,i,,,0,9,9,7,,,,,21.281904899980873,,,,,,,,,,,,,,,,21.278425100026652,21.281904899980873,21.767445600009523,21.767460700008087,21.772098000044934,21.772098000044934,22.32849820004776,i,1,0.5526401000097394,None,22.328872099984437,22.33167250000406,23.316562099964358,21.772098000044934,23.32149949995801,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.316640099976212,23.32149949995801,23.32149949995801,24.085370999993756,space,0.7574942000210285,None,,,,,,,,,,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,出门,e,,,,,0,0,0,2,24.105595999979414,,,,,,,,,,,,,,,,24.10140250006225,24.105595999979414,24.587201199959964,,,,,,,,,,,,,,,,,,,,,24.587229200056754,24.60473759996239,24.60473759996239,26.08823850005865,None,0,26.089015600038692,26.105467800050974,27.086612100014463,,,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,野蛮,i,,,,,0,1,1,36,27.0917392000556,,,,,,,,,,,,,,,,27.087027300032787,27.0917392000556,27.57881219999399,,,,,,,,,,,,27.583075299975462,,,,,,,,,27.5788276999956,27.583075299975462,27.583075299975462,28.50535440002568,e,0,28.505930399987847,28.509941400028765,29.50782729999628,0.9030540999956429,None,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,无私,e,,,,,0,2,2,12,29.51246550003998,,,,,,,,,,,,,,,,29.508276700042188,29.51246550003998,29.996575199998915,,,,,,,,,,,,30.002416200004518,,,,,,,,,29.996595400036313,30.002416200004518,30.002416200004518,30.288372999988496,i,0,30.288765200064518,30.29294309997931,31.276448699994944,0.272312100045383,None,31.293381300056353,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,猖狂,i,,,,,0,3,3,35,31.293381300056353,,,,,,,,,,,,,,,,31.276747500058264,31.293381300056353,31.78493389999494,,,,,,,,,,,,31.78774629998952,,,,,,,,,31.78494869999122,31.78774629998952,31.78774629998952,31.819961600005627,i,1,31.820418699993752,31.840738600003533,32.82279510004446,0.029689499991945922,None,,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,杰出,e,,,,,0,4,4,3,32.82716700003948,,,,,,,,,,,,,,,,32.82314880006015,32.82716700003948,33.31381219998002,,,,,,,,,,,,33.317926899995655,,,,,,,,,33.31383030000143,33.317926899995655,33.317926899995655,33.337602699990384,i,0,33.33822010003496,33.3494989000028,34.33636159996968,0.006144599989056587,None,34.33993360004388,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,虚伪,i,,,,,0,5,5,21,34.33993360004388,,,,,,,,,,,,,,,,34.336723800050095,34.33993360004388,34.82474429998547,,,,,,,,,,,,34.82805550005287,,,,,,,,,34.82476320001297,34.82805550005287,34.82805550005287,36.31892450002488,None,0,36.319231900037266,36.32760870002676,37.31442079995759,,,37.318382999976166,36.32227140001487,36.32227140001487,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
,,消极,i,,,,,0,6,6,25,37.318382999976166,,,,,,,,,,,,,,,,37.314656500006095,37.336479200050235,37.83431980002206,,,,,,,,,,,,37.840674399980344,,,,,,,,,37.83433880005032,37.840674399980344,37.840674399980344,37.870768400025554,i,1,37.87120649998542,37.87819249997847,38.87052480003331,0.01849619997665286,None,38.87406279996503,,,1,001,2024-07-05_12h59.43.908,IAT(test03),2024.1.4,None,2024-07-05 12h59.52.321899 +0800,
