Words,ans,Words_ipn,ans_ipn,Words_t1,ans_t1,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp.started,Practice_iso.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_2.started,Practic_ipn.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Feedback_ipn_Practice.started,fb_3.started,Feedback_ipn_Practice.stopped,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Practice_t1.started,text_3.started,key_resp_9.started,Practice_t1.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,Feedback_t1.started,fb_2.started,Feedback_t1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.2129964999621734,0.23362279997672886,0.23362279997672886,13.75140129995998,space,13.436720500001684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,13.751438400009647,13.792090600007214,13.792090600007214,14.298108299961314,space,0.4861938999965787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
他人,i,,,,,0,0,0,8,,,,,,,,,14.336847999948077,,,,,,,,,,,,,,,,14.320933799957857,14.336847999948077,14.802167100016959,14.802180300001055,14.82911619998049,14.82911619998049,15.723862600047141,e,0,0.7654112000018358,None,15.724476199946366,15.777394299977459,16.74098280002363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
他的,i,,,,,0,1,1,7,,,,,,,,,16.768373499973677,,,,,,,,,,,,,,,,16.741185400052927,16.768373499973677,17.237684999941848,17.237705199979246,17.26394670002628,17.26394670002628,18.733495899941772,None,0,,,18.733649699948728,18.760167900007218,19.73206750000827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
我们,e,,,,,0,2,2,2,,,,,,,,,19.760243500000797,,,,,,,,,,,,,,,,19.732267000013962,19.760243500000797,20.256738299969584,20.256754499976523,20.29645280004479,20.29645280004479,20.664437499945052,i,0,0.35337540006730705,None,20.664660100010224,20.702369099948555,21.69015619996935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
我的,e,,,,,0,3,3,1,,,,,,,,,21.721823500003666,,,,,,,,,,,,,,,,21.690357799991034,21.721823500003666,22.194194499985315,22.19421320001129,22.23019849997945,22.23019849997945,22.66072499996517,e,1,0.3959113999735564,None,22.66098169994075,22.683480000006966,23.667029900010675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
他们,i,,,,,0,4,4,6,,,,,,,,,23.688474599970505,,,,,,,,,,,,,,,,23.66721270000562,23.688474599970505,24.165108500048518,24.165128299966455,24.19405149994418,24.19405149994418,24.731710399966687,i,1,0.505149400094524,None,24.732003799988888,24.763258600025438,25.74954660004005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
我,e,,,,,0,5,5,0,,,,,,,,,25.77772290003486,,,,,,,,,,,,,,,,25.749727200018242,25.77772290003486,26.23995700001251,26.23997260001488,26.268202199949883,26.268202199949883,26.83001889998559,e,1,0.5407723999815062,None,26.830261299968697,26.861854500020854,27.83394469995983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
他,i,,,,,0,6,6,5,,,,,,,,,27.860561899957247,,,,,,,,,,,,,,,,27.834156499942765,27.860561899957247,28.354620199999772,28.354634499992244,28.366145799984224,28.366145799984224,28.80181370000355,i,1,0.42306080006528646,None,28.8020322000375,28.821578299975954,29.84056799998507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
自己,e,,,,,0,7,7,3,,,,,,,,,29.858813900034875,,,,,,,,,,,,,,,,29.840797499986365,29.858813900034875,30.32303780002985,30.323056200053543,30.362637300044298,30.362637300044298,30.825008500018157,e,1,0.43287599994800985,None,30.8253331000451,30.85384520003572,31.832500100019388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_14h22.35.003,IAT(test03),2024.1.4,None,2024-07-05 14h23.05.315892 +0800,
