number,ans,Number,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,routine_1.started,fix.started,Number.started,key_resp.started,fix.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine.started,fb.started,routine.stopped,fb.stopped,Ending.started,key_instruct_2.started,Ending.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,participant,性别,年龄,左/右利手,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.06079260000001341,0.08034720000000561,1.573270900000125,space,1.4885957999999846,None,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
10,j,10,0,0,0,9,1.5928361999999652,,,,,,,,1.583577699999978,1.5928361999999652,2.0638629000000037,2.0638629000000037,2.084360199999992,2.778444199999967,j,1,0.7099949999999353,None,2.7788192000000436,2.7963760000000093,3.780753400000094,,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
6,j,6,0,1,1,5,3.7995356000001266,,,,,,,,3.7809760000000097,3.7995356000001266,4.267334699999992,4.267334699999992,4.293239800000038,4.8092598000000635,j,1,0.5385337000000163,None,4.809530799999948,4.814008199999989,5.797195600000123,5.812667400000009,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
4,j,4,0,2,2,3,5.812667400000009,,,,,,,,5.797381300000097,5.812667400000009,6.301535199999989,6.301535199999989,6.301535199999989,6.845809400000007,j,1,0.5413346999998794,None,6.846050600000126,6.85084350000011,7.839658200000031,7.851654499999995,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
1,f,1,0,3,3,0,7.851654499999995,,,,,,,,7.839877599999909,7.851654499999995,8.337452199999916,8.337452199999916,8.351262399999996,8.850848400000132,f,1,0.5077020999999604,None,8.851262000000133,8.860484000000042,9.84465010000008,9.86175430000003,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
3,f,3,0,4,4,2,9.86175430000003,,,,,,,,9.84483350000005,9.86175430000003,10.338212999999996,10.338212999999996,10.35956370000008,11.293652199999997,f,1,0.9528327000000445,None,11.293858,11.29788050000002,12.287180300000045,12.298516099999915,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
5,f,5,0,5,5,4,12.298516099999915,,,,,,,,12.287412700000004,12.298516099999915,12.795397699999967,12.795397699999967,12.801353000000063,13.464751400000068,j,0,0.664071100000001,None,13.464983000000075,13.476879600000075,14.461211399999911,14.472933799999964,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
8,j,8,0,6,6,7,14.472933799999964,,,,,,,,14.46138730000007,14.472933799999964,14.96465430000012,14.96465430000012,14.973052300000063,15.575682899999947,j,1,0.6025604999999814,None,15.575915800000075,15.584782399999995,16.573560999999927,16.578944300000103,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
7,f,7,0,7,7,6,16.578944300000103,,,,,,,,16.573795400000108,16.578944300000103,17.066793899999993,17.066793899999993,17.075555200000053,17.927347800000007,j,0,0.8588459000000057,None,17.927567200000112,17.945273199999974,18.930731299999934,,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
2,j,2,0,8,8,1,18.947026199999982,,,,,,,,18.93092139999999,18.947026199999982,19.42429540000012,19.42429540000012,19.443318099999942,19.843559400000004,j,1,0.41475579999996626,None,19.843825800000104,19.851332700000057,20.84598320000009,,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
9,f,9,0,9,9,8,20.863613700000087,,,,,,,,20.846254499999986,20.863613700000087,21.333796800000073,21.333796800000073,21.35837760000004,21.969993299999942,f,1,0.6297745000001669,None,21.970273599999928,21.98050430000012,22.966892899999948,22.975518799999918,,,,,,,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.966941800000086,22.975518799999918,23.824949099999913,space,0.8464089999999942,None,1,,,,2024-06-15_09h17.01.505,Number Judge,2024.1.4,None,2024-06-15 09h17.07.433318 +0800,
